ref_frequency_thz,ref_amplitude,ref_phase,sample_frequency_thz,sample_amplitude,sample_phase,phase_offset,phase_diff
0.8,0.004,552.43999,0.8,7.15353e-05,577.56531,14.3257,10.79962
0.811111,0.00405,560.14714,0.811111,7.42215e-05,585.62366,14.5246,10.95192
0.822222,0.0041,567.85453,0.822222,7.70485e-05,593.68326,14.7236,11.10513
0.833333,0.00415,575.56218,0.833333,8.00189e-05,601.74409,14.9226,11.25932
0.844444,0.0042,583.2701,0.844444,8.31344e-05,609.80616,15.1215,11.41456
0.855556,0.00425,590.97832,0.855556,8.63959e-05,617.86948,15.3205,11.57065
0.866667,0.0043,598.68687,0.866667,8.98026e-05,625.93404,15.5195,11.72767
0.877778,0.00435,606.39576,0.877778,9.33517e-05,633.99986,15.7184,11.8857
0.888889,0.0044,614.10502,0.888889,9.70384e-05,642.06696,15.9174,12.04453
0.9,0.00445,621.81469,0.9,0.000100855,650.13532,16.1164,12.20423
0.911111,0.0045,629.52478,0.911111,0.000104793,658.20494,16.3153,12.36487
0.922222,0.00455,637.23531,0.922222,0.000108839,666.27581,16.5143,12.52619
0.933333,0.0046,644.94632,0.933333,0.000112979,674.34787,16.7133,12.68825
0.944444,0.00464,652.65781,0.944444,0.000117199,682.42109,16.9122,12.85108
0.955556,0.00469,660.3698,0.955556,0.000121481,690.4954,17.1112,13.0144
0.966667,0.00474,668.0823,0.966667,0.000125808,698.57074,17.3102,13.17824
0.977778,0.00478,675.79531,0.977778,0.000130162,706.64702,17.5091,13.34261
0.988889,0.00482,683.50884,0.988889,0.000134527,714.72417,17.7081,13.50723
1.0,0.00487,691.22288,1.0,0.000138884,722.8021,17.9071,13.67212
1.01111,0.00491,698.93743,1.01111,0.00014322,730.88072,18.106,13.83729
1.02222,0.00495,706.65248,1.02222,0.000147521,738.95995,18.305,14.00247
1.03333,0.00498,714.36802,1.03333,0.000151775,747.03972,18.504,14.16771
1.04444,0.00502,722.08402,1.04444,0.000155972,755.11995,18.7029,14.33303
1.05556,0.00505,729.80049,1.05556,0.000160106,763.20058,18.9019,14.49819
1.06667,0.00508,737.5174,1.06667,0.00016417,771.28155,19.1009,14.66325
1.07778,0.00511,745.23473,1.07778,0.000168162,779.36281,19.2999,14.82818
1.08889,0.00514,752.95246,1.08889,0.000172081,787.44433,19.4988,14.99307
1.1,0.00516,760.67058,1.1,0.000175928,795.52609,19.6978,15.15771
1.11111,0.00519,768.38907,1.11111,0.000179703,803.60806,19.8968,15.32219
1.12222,0.00521,776.10791,1.12222,0.000183411,811.69024,20.0957,15.48663
1.13333,0.00522,783.82708,1.13333,0.000187055,819.77262,20.2947,15.65085
1.14444,0.00524,791.54656,1.14444,0.00019064,827.85521,20.4937,15.81495
1.15556,0.00525,799.26635,1.15556,0.00019417,835.93801,20.6926,15.97906
1.16667,0.00526,806.98641,1.16667,0.000197651,844.02103,20.8916,16.14302
1.17778,0.00527,814.70675,1.17778,0.000201087,852.10429,21.0906,16.30694
1.18889,0.00528,822.42733,1.18889,0.000204483,860.18778,21.2895,16.47095
1.2,0.00528,830.14816,1.2,0.000207845,868.27153,21.4885,16.63487
1.21111,0.00528,837.86922,1.21111,0.000211177,876.35554,21.6875,16.79883
1.22222,0.00528,845.59049,1.22222,0.000214484,884.43982,21.8864,16.96293
1.23333,0.00528,853.31196,1.23333,0.000217773,892.52436,22.0854,17.127
1.24444,0.00528,861.03364,1.24444,0.000221048,900.60918,22.2844,17.29114
1.25556,0.00527,868.7555,1.25556,0.000224316,908.69426,22.4833,17.45547
1.26667,0.00526,876.47754,1.26667,0.000227585,916.77963,22.6823,17.61979
1.27778,0.00525,884.19975,1.27778,0.00023086,924.86526,22.8813,17.78421
1.28889,0.00524,891.92214,1.28889,0.000234151,932.95118,23.0802,17.94885
1.3,0.00523,899.64469,1.3,0.000237465,941.03739,23.2792,18.1135
1.31111,0.00522,907.36741,1.31111,0.00024081,949.12391,23.4782,18.2783
1.32222,0.0052,915.09031,1.32222,0.000244193,957.21075,23.6771,18.44334
1.33333,0.00518,922.81337,1.33333,0.000247621,965.29793,23.8761,18.60846
1.34444,0.00517,930.53662,1.34444,0.000251099,973.38549,24.0751,18.77378
1.35556,0.00515,938.26004,1.35556,0.00025463,981.47346,24.274,18.93942
1.36667,0.00513,945.98366,1.36667,0.000258216,989.56187,24.473,19.10522
1.37778,0.00511,953.70747,1.37778,0.000261856,997.65076,24.672,19.27129
1.38889,0.00509,961.43148,1.38889,0.000265545,1005.74016,24.8709,19.43778
1.4,0.00506,969.1557,1.4,0.000269276,1013.8301,25.0699,19.6045
1.41111,0.00504,976.88013,1.41111,0.000273041,1021.92061,25.2689,19.77158
1.42222,0.00501,984.60478,1.42222,0.000276826,1030.01171,25.4678,19.93912
1.43333,0.00499,992.32965,1.43333,0.000280619,1038.1034,25.6668,20.10695
1.44444,0.00496,1000.05475,1.44444,0.000284403,1046.1957,25.8658,20.27516
1.45556,0.00494,1007.78006,1.45556,0.000288163,1054.2886,26.0647,20.44384
1.46667,0.00491,1015.50559,1.46667,0.000291882,1062.38207,26.2637,20.61278
1.47778,0.00488,1023.23134,1.47778,0.000295545,1070.47609,26.4627,20.78206
1.48889,0.00485,1030.95729,1.48889,0.000299138,1078.57063,26.6616,20.95175
1.5,0.00482,1038.68344,1.5,0.00030265,1086.66565,26.8606,21.12161
1.51111,0.00479,1046.40978,1.51111,0.000306073,1094.7611,27.0596,21.29172
1.52222,0.00476,1054.13631,1.52222,0.000309403,1102.85694,27.2586,21.46203
1.53333,0.00472,1061.86302,1.53333,0.00031264,1110.95311,27.4575,21.6326
1.54444,0.00469,1069.5899,1.54444,0.000315788,1119.0496,27.6565,21.80319
1.55556,0.00466,1077.31697,1.55556,0.000318855,1127.14635,27.8555,21.97388
1.56667,0.00463,1085.04422,1.56667,0.000321853,1135.24334,28.0544,22.14472
1.57778,0.0046,1092.77165,1.57778,0.000324798,1143.34056,28.2534,22.31551
1.58889,0.00457,1100.49929,1.58889,0.000327708,1151.43801,28.4524,22.48631
1.6,0.00454,1108.22716,1.6,0.000330604,1159.53569,28.6513,22.65723
1.61111,0.00451,1115.95528,1.61111,0.000333507,1167.63364,28.8503,22.82807
1.62222,0.00448,1123.68367,1.62222,0.000336437,1175.73189,29.0493,22.99892
1.63333,0.00445,1131.41239,1.63333,0.000339413,1183.8305,29.2482,23.16991
1.64444,0.00442,1139.14147,1.64444,0.000342454,1191.92953,29.4472,23.34085
1.65556,0.0044,1146.87096,1.65556,0.000345572,1200.02904,29.6462,23.51188
1.66667,0.00437,1154.60091,1.66667,0.000348778,1208.12911,29.8451,23.68311
1.67778,0.00435,1162.33137,1.67778,0.000352077,1216.22983,30.0441,23.85437
1.68889,0.00433,1170.06239,1.68889,0.00035547,1224.33127,30.2431,24.02579
1.7,0.00431,1177.79402,1.7,0.000358953,1232.43351,30.442,24.19749
1.71111,0.00429,1185.52633,1.71111,0.000362517,1240.53661,30.641,24.36928
1.72222,0.00427,1193.25934,1.72222,0.00036615,1248.64062,30.84,24.54128
1.73333,0.00425,1200.9931,1.73333,0.000369837,1256.7456,31.0389,24.7136
1.74444,0.00423,1208.72765,1.74444,0.000373559,1264.85159,31.2379,24.88604
1.75556,0.00421,1216.46302,1.75556,0.000377298,1272.9586,31.4369,25.05868
1.76667,0.00419,1224.19923,1.76667,0.000381031,1281.06664,31.6358,25.23162
1.77778,0.00418,1231.93629,1.77778,0.00038474,1289.17573,31.8348,25.40464
1.78889,0.00416,1239.67423,1.78889,0.000388405,1297.28585,32.0338,25.57782
1.8,0.00414,1247.41304,1.8,0.000392007,1305.39698,32.2327,25.75125
1.81111,0.00412,1255.15271,1.81111,0.000395531,1313.50911,32.4317,25.9247
1.82222,0.0041,1262.89326,1.82222,0.000398964,1321.62221,32.6307,26.09825
1.83333,0.00408,1270.63466,1.83333,0.000402294,1329.73624,32.8296,26.27198
1.84444,0.00406,1278.3769,1.84444,0.000405512,1337.85119,33.0286,26.44569
1.85556,0.00404,1286.11998,1.85556,0.000408614,1345.96703,33.2276,26.61945
1.86667,0.00402,1293.86386,1.86667,0.000411595,1354.08372,33.4265,26.79336
1.87778,0.004,1301.60854,1.87778,0.000414453,1362.20125,33.6255,26.96721
1.88889,0.00397,1309.35399,1.88889,0.000417187,1370.31959,33.8245,27.1411
1.9,0.00394,1317.10021,1.9,0.000419798,1378.43875,34.0234,27.31514
1.91111,0.00392,1324.84717,1.91111,0.000422286,1386.55869,34.2224,27.48912
1.92222,0.00389,1332.59486,1.92222,0.000424653,1394.67943,34.4214,27.66317
1.93333,0.00386,1340.34327,1.93333,0.0004269,1402.80095,34.6204,27.83728
1.94444,0.00383,1348.0924,1.94444,0.000429026,1410.92327,34.8193,28.01157
1.95556,0.0038,1355.84222,1.95556,0.000431031,1419.04638,35.0183,28.18586
1.96667,0.00376,1363.59274,1.96667,0.000432913,1427.17029,35.2173,28.36025
1.97778,0.00373,1371.34394,1.97778,0.000434669,1435.29501,35.4162,28.53486
1.98889,0.0037,1379.09584,1.98889,0.000436296,1443.42054,35.6152,28.7095
2.0,0.00366,1386.84843,2.0,0.00043779,1451.54691,35.8142,28.88428
2.01111,0.00362,1394.6017,2.01111,0.000439145,1459.6741,36.0131,29.0593
2.02222,0.00359,1402.35567,2.02222,0.000440357,1467.80213,36.2121,29.23436
2.03333,0.00355,1410.11032,2.03333,0.000441419,1475.931,36.4111,29.40958
2.04444,0.00351,1417.86568,2.04444,0.000442327,1484.06071,36.61,29.58504
2.05556,0.00347,1425.62173,2.05556,0.000443075,1492.19127,36.809,29.76054
2.06667,0.00344,1433.37848,2.06667,0.000443659,1500.32267,37.008,29.93618
2.07778,0.0034,1441.13595,2.07778,0.000444076,1508.4549,37.2069,30.11205
2.08889,0.00336,1448.89412,2.08889,0.000444324,1516.58796,37.4059,30.28793
2.1,0.00332,1456.65302,2.1,0.000444401,1524.72184,37.6049,30.46392
2.11111,0.00327,1464.41264,2.11111,0.000444307,1532.85653,37.8038,30.64009
2.12222,0.00323,1472.17299,2.12222,0.000444042,1540.99202,38.0028,30.81623
2.13333,0.00319,1479.93409,2.13333,0.000443608,1549.1283,38.2018,30.99242
2.14444,0.00315,1487.69592,2.14444,0.000443005,1557.26537,38.4007,31.16875
2.15556,0.00311,1495.45852,2.15556,0.000442236,1565.40321,38.5997,31.34499
2.16667,0.00306,1503.22188,2.16667,0.000441302,1573.54181,38.7987,31.52123
2.17778,0.00302,1510.98602,2.17778,0.000440205,1581.68117,38.9976,31.69755
2.18889,0.00298,1518.75094,2.18889,0.000438945,1589.82128,39.1966,31.87374
2.2,0.00293,1526.51667,2.2,0.00043752,1597.96214,39.3956,32.04986
2.21111,0.00289,1534.28322,2.21111,0.000435929,1606.10374,39.5945,32.22602
2.22222,0.00284,1542.0506,2.22222,0.000434168,1614.2461,39.7935,32.402
2.23333,0.0028,1549.81883,2.23333,0.00043223,1622.38922,39.9925,32.57788
2.24444,0.00275,1557.58793,2.24444,0.00043011,1630.5331,40.1914,32.75377
2.25556,0.00271,1565.35791,2.25556,0.000427798,1638.67776,40.3904,32.92945
2.26667,0.00266,1573.12879,2.26667,0.000425282,1646.82321,40.5894,33.10502
2.27778,0.00261,1580.90058,2.27778,0.000422551,1654.96947,40.7883,33.28059
2.28889,0.00257,1588.67331,2.28889,0.000419591,1663.11657,40.9873,33.45597
2.3,0.00252,1596.44698,2.3,0.000416389,1671.26454,41.1863,33.63126
2.31111,0.00247,1604.2216,2.31111,0.00041293,1679.41339,41.3852,33.80659
2.32222,0.00242,1611.9972,2.32222,0.000409201,1687.56317,41.5842,33.98177
2.33333,0.00237,1619.77377,2.33333,0.000405189,1695.7139,41.7832,34.15694
2.34444,0.00232,1627.55132,2.34444,0.000400883,1703.86564,41.9821,34.33222
2.35556,0.00227,1635.32985,2.35556,0.000396274,1712.0184,42.1811,34.50745
2.36667,0.00222,1643.10937,2.36667,0.000391355,1720.17224,42.3801,34.68277
2.37778,0.00217,1650.88987,2.37778,0.000386124,1728.32719,42.5791,34.85822
2.38889,0.00212,1658.67135,2.38889,0.00038058,1736.48329,42.778,35.03394
2.4,0.00207,1666.45379,2.4,0.00037473,1744.64057,42.977,35.20978
2.41111,0.00202,1674.23719,2.41111,0.00036858,1752.79907,43.176,35.38588
2.42222,0.00196,1682.02152,2.42222,0.000362145,1760.95881,43.3749,35.56239
2.43333,0.00191,1689.80679,2.43333,0.000355441,1769.11982,43.5739,35.73914
2.44444,0.00186,1697.59295,2.44444,0.000348488,1777.28211,43.7729,35.91626
2.45556,0.00181,1705.38,2.45556,0.000341309,1785.44568,43.9718,36.09389
2.46667,0.00175,1713.1679,2.46667,0.000333933,1793.61054,44.1708,36.27184
2.47778,0.0017,1720.95664,2.47778,0.000326385,1801.77666,44.3698,36.45022
2.48889,0.00165,1728.74619,2.48889,0.000318697,1809.94403,44.5687,36.62914
2.5,0.00159,1736.53652,2.5,0.000310898,1818.11258,44.7677,36.80837
2.51111,0.00154,1744.32759,2.51111,0.000303016,1826.28229,44.9667,36.98799
2.52222,0.00149,1752.11939,2.52222,0.00029508,1834.45307,45.1656,37.16807
2.53333,0.00143,1759.91189,2.53333,0.000287114,1842.62484,45.3646,37.34835
2.54444,0.00138,1767.70505,2.54444,0.000279141,1850.79752,45.5636,37.52887
2.55556,0.00133,1775.49885,2.55556,0.00027118,1858.97101,45.7625,37.70966
2.56667,0.00128,1783.29326,2.56667,0.000263247,1867.14519,45.9615,37.89042
2.57778,0.00123,1791.08826,2.57778,0.000255352,1875.31995,46.1605,38.07119
2.58889,0.00118,1798.88382,2.58889,0.000247504,1883.49519,46.3594,38.25197
2.6,0.00113,1806.67992,2.6,0.000239708,1891.6708,46.5584,38.43247
2.61111,0.00108,1814.47654,2.61111,0.000231966,1899.84666,46.7574,38.61271
2.62222,0.00104,1822.27366,2.62222,0.000224279,1908.02269,46.9563,38.79273
2.63333,0.000989589,1830.07127,2.63333,0.000216644,1916.19881,47.1553,38.97224
2.64444,0.000944373,1837.86934,2.64444,0.000209061,1924.37495,47.3543,39.15131
2.65556,0.000900225,1845.66788,2.65556,0.000201528,1932.55107,47.5532,39.33
2.66667,0.000857187,1853.46686,2.66667,0.000194044,1940.72715,47.7522,39.50809
2.67778,0.000815298,1861.2663,2.67778,0.000186611,1948.90317,47.9512,39.68567
2.68889,0.00077459,1869.06619,2.68889,0.000179231,1957.07916,48.1501,39.86287
2.7,0.000735091,1876.86652,2.7,0.000171909,1965.25514,48.3491,40.03952
2.71111,0.000696823,1884.66732,2.71111,0.000164652,1973.43117,48.5481,40.21575
2.72222,0.000659803,1892.46858,2.72222,0.000157469,1981.60732,48.747,40.39173
2.73333,0.000624044,1900.27032,2.73333,0.000150372,1989.78365,48.946,40.56733
2.74444,0.000589554,1908.07256,2.74444,0.000143373,1997.96028,49.145,40.74272
2.75556,0.000556337,1915.87531,2.75556,0.000136487,2006.13729,49.3439,40.91808
2.76667,0.000524392,1923.67859,2.76667,0.000129728,2014.31479,49.5429,41.09329
2.77778,0.000493717,1931.48243,2.77778,0.000123112,2022.49287,49.7419,41.26855
2.78889,0.000464303,1939.28683,2.78889,0.000116653,2030.67164,49.9409,41.44391
2.8,0.00043614,1947.09183,2.8,0.000110366,2038.85119,50.1398,41.61956
2.81111,0.000409213,1954.89744,2.81111,0.000104264,2047.03158,50.3388,41.79534
2.82222,0.000383505,1962.70366,2.82222,9.83578e-05,2055.21287,50.5378,41.97141
2.83333,0.000358994,1970.51052,2.83333,9.26575e-05,2063.39511,50.7367,42.14789
2.84444,0.000335658,1978.31801,2.84444,8.71703e-05,2071.5783,50.9357,42.32459
2.85556,0.000313468,1986.12614,2.85556,8.19013e-05,2079.76244,51.1347,42.5016
2.86667,0.000292394,1993.93489,2.86667,7.68533e-05,2087.94747,51.3336,42.67898
2.87778,0.000272404,2001.74425,2.87778,7.20267e-05,2096.13333,51.5326,42.85647
2.88889,0.000253462,2009.55421,2.88889,6.742e-05,2104.31991,51.7316,43.0341
2.9,0.00023553,2017.36474,2.9,6.30295e-05,2112.50708,51.9305,43.21184
2.91111,0.000218571,2025.17582,2.91111,5.88502e-05,2120.69468,52.1295,43.38936
2.92222,0.000202543,2032.98744,2.92222,5.48759e-05,2128.88252,52.3285,43.56658
2.93333,0.000187406,2040.79956,2.93333,5.10993e-05,2137.07037,52.5274,43.74341
2.94444,0.00017312,2048.6122,2.94444,4.7513e-05,2145.258,52.7264,43.91939
2.95556,0.000159647,2056.42538,2.95556,4.4109e-05,2153.44511,52.9254,44.09433
2.96667,0.000146949,2064.23913,2.96667,4.08797e-05,2161.63139,53.1243,44.26797
2.97778,0.000134992,2072.05353,2.97778,3.78181e-05,2169.81651,53.3233,44.43967
2.98889,0.000123745,2079.86871,2.98889,3.49172e-05,2178.00005,53.5223,44.60903
3.0,0.00011318,2087.68485,3.0,3.21711e-05,2186.18157,53.7212,44.77552
3.01111,0.000103275,2095.50218,3.01111,2.95744e-05,2194.36056,53.9202,44.93818
3.02222,9.40116e-05,2103.32103,3.02222,2.71226e-05,2202.53643,54.1192,45.0962
3.03333,8.5375e-05,2111.14179,3.03333,2.48117e-05,2210.70849,54.3181,45.24859
3.04444,7.73564e-05,2118.96496,3.04444,2.26389e-05,2218.87595,54.5171,45.39389
3.05556,6.99507e-05,2126.7911,3.05556,2.0602e-05,2227.03789,54.7161,45.53069
3.06667,6.31567e-05,2134.62087,3.06667,1.86999e-05,2235.19326,54.915,45.65739
3.07778,5.69763e-05,2142.45494,3.07778,1.69327e-05,2243.34083,55.114,45.77189
3.08889,5.14133e-05,2150.29397,3.08889,1.53017e-05,2251.47925,55.313,45.87227
3.1,4.64717e-05,2158.13846,3.1,1.381e-05,2259.60703,55.5119,45.95667
3.11111,4.21534e-05,2165.9886,3.11111,1.24619e-05,2267.72265,55.7109,46.02314
3.12222,3.84549e-05,2173.84408,3.12222,1.12636e-05,2275.8247,55.9099,46.07072
3.13333,3.53634e-05,2181.70389,3.13333,1.02217e-05,2283.91219,56.1088,46.0995
3.14444,3.28533e-05,2189.56617,3.14444,9.34262e-06,2291.9849,56.3078,46.11094
3.15556,3.08828e-05,2197.42834,3.15556,8.63037e-06,2300.04392,56.5068,46.10877
3.16667,2.93947e-05,2205.28737,3.16667,8.08388e-06,2308.09187,56.7057,46.0988
3.17778,2.83193e-05,2213.14022,3.17778,7.69468e-06,2316.13292,56.9047,46.088
3.18889,2.75803e-05,2220.98433,3.18889,7.44581e-06,2324.17205,57.1037,46.08401
3.2,2.7102e-05,2228.81795,3.2,7.31298e-06,2332.21403,57.3027,46.09338
3.21111,2.68152e-05,2236.64019,3.21111,7.26767e-06,2340.26255,57.5016,46.12076
3.22222,2.6661e-05,2244.45094,3.22222,7.28084e-06,2348.31977,57.7006,46.16823
3.23333,2.65928e-05,2252.25068,3.23333,7.32609e-06,2356.38645,57.8996,46.23616
3.24444,2.65749e-05,2260.04026,3.24444,7.38142e-06,2364.46237,58.0985,46.3236
3.25556,2.65822e-05,2267.82075,3.25556,7.42983e-06,2372.5468,58.2975,46.42855
3.26667,2.65974e-05,2275.59328,3.26667,7.45906e-06,2380.63882,58.4965,46.54904
3.27778,2.66095e-05,2283.35901,3.27778,7.46102e-06,2388.73757,58.6954,46.68317
3.28889,2.66121e-05,2291.11904,3.28889,7.43102e-06,2396.84236,58.8944,46.82892
3.3,2.66018e-05,2298.87442,3.3,7.36706e-06,2404.95269,59.0934,46.98487
3.31111,2.65775e-05,2306.62612,3.31111,7.26921e-06,2413.06833,59.2923,47.14991
3.32222,2.65394e-05,2314.37501,3.32222,7.1391e-06,2421.18925,59.4913,47.32294
3.33333,2.64886e-05,2322.12188,3.33333,6.97956e-06,2429.31565,59.6903,47.50347
3.34444,2.64269e-05,2329.86742,3.34444,6.7943e-06,2437.4479,59.8892,47.69127
3.35556,2.63563e-05,2337.61227,3.35556,6.58782e-06,2445.58655,60.0882,47.88608
3.36667,2.62791e-05,2345.35694,3.36667,6.36525e-06,2453.73226,60.2872,48.08812
3.37778,2.61981e-05,2353.10189,3.37778,6.13242e-06,2461.88581,60.4861,48.29782
3.38889,2.61159e-05,2360.84748,3.38889,5.89578e-06,2470.04797,60.6851,48.51539
