frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
1.13333,3.05907,0.39893,9.19877,2.44068,153.8839,111.24107
1.14444,3.06046,0.39293,9.21205,2.40509,153.12654,111.48646
1.15556,3.06182,0.38707,9.22492,2.37029,152.3761,111.74168
1.16667,3.06314,0.38135,9.23741,2.33623,151.63054,112.00498
1.17778,3.06443,0.37574,9.24958,2.30286,150.88801,112.27467
1.18889,3.0657,0.37025,9.26144,2.27013,150.14688,112.54912
1.2,3.06695,0.36486,9.27304,2.23801,149.40566,112.82686
1.21111,3.06817,0.35957,9.28439,2.20645,148.66305,113.10658
1.22222,3.06938,0.35438,9.29553,2.17543,147.91782,113.38713
1.23333,3.07058,0.34927,9.30646,2.14492,147.16879,113.66756
1.24444,3.07176,0.34425,9.31722,2.11488,146.41483,113.94706
1.25556,3.07293,0.3393,9.32781,2.08528,145.65481,114.22492
1.26667,3.0741,0.33442,9.33824,2.0561,144.88758,114.50052
1.27778,3.07525,0.32962,9.34853,2.02731,144.11199,114.77325
1.28889,3.0764,0.32487,9.3587,1.99889,143.32694,115.04245
1.3,3.07754,0.32019,9.36875,1.9708,142.53133,115.30739
1.31111,3.07868,0.31556,9.3787,1.94303,141.72422,115.56722
1.32222,3.07982,0.31099,9.38856,1.91557,140.9048,115.82093
1.33333,3.08095,0.30646,9.39836,1.88838,140.07248,116.06736
1.34444,3.08209,0.30198,9.40811,1.86147,139.22697,116.30524
1.35556,3.08324,0.29755,9.41783,1.83483,138.36832,116.53316
1.36667,3.0844,0.29316,9.42755,1.80845,137.49696,116.74968
1.37778,3.08556,0.28882,9.43728,1.78234,136.61374,116.95337
1.38889,3.08674,0.28453,9.44703,1.75651,135.7199,117.14288
1.4,3.08794,0.28028,9.45683,1.73098,134.8171,117.31702
1.41111,3.08916,0.27609,9.46668,1.70576,133.90735,117.47486
1.42222,3.0904,0.27195,9.47659,1.68088,132.99292,117.61575
1.43333,3.09165,0.26788,9.48656,1.65636,132.07632,117.73941
1.44444,3.09293,0.26386,9.49659,1.63221,131.16015,117.84593
1.45556,3.09423,0.25992,9.50668,1.60848,130.24704,117.93579
1.46667,3.09554,0.25604,9.5168,1.58517,129.33952,118.00986
1.47778,3.09687,0.25224,9.52695,1.56231,128.43994,118.06937
1.48889,3.0982,0.24852,9.53711,1.53991,127.55038,118.11583
1.5,3.09955,0.24487,9.54725,1.51798,126.67257,118.15099
1.51111,3.1009,0.24131,9.55736,1.49654,125.80785,118.17675
1.52222,3.10225,0.23782,9.5674,1.47557,124.95711,118.19509
1.53333,3.1036,0.23442,9.57736,1.45507,124.12082,118.20797
1.54444,3.10494,0.23109,9.58723,1.43504,123.29896,118.21723
