Frequency	σRe	σIm
2.93457000E+12	NaN	1.92336120E+02
2.93945000E+12	NaN	1.92656150E+02
2.94434000E+12	NaN	1.92976180E+02
2.94922000E+12	NaN	1.93296200E+02
2.95410000E+12	NaN	1.93538170E+02
2.95898000E+12	NaN	1.93858070E+02
2.96387000E+12	NaN	1.94177960E+02
2.96875000E+12	NaN	1.94663020E+02
2.97363000E+12	NaN	1.94896340E+02
2.97852000E+12	NaN	1.95216360E+02
2.98340000E+12	NaN	1.95536390E+02
2.98828000E+12	NaN	1.95856420E+02
2.99316000E+12	NaN	1.91280180E+02
2.99805000E+12	NaN	1.91592220E+02
3.00293000E+12	NaN	1.91975260E+02
