Frequency	σRe	σIm
9.13086000E+11	1.78414920E+02	1.35027320E+02
9.17969000E+11	1.77781670E+02	1.35462130E+02
9.22852000E+11	1.77378240E+02	1.34513860E+02
9.27734000E+11	1.76710290E+02	1.34940410E+02
9.32617000E+11	1.77640350E+02	1.35650630E+02
9.37500000E+11	1.76947030E+02	1.36075290E+02
9.42383000E+11	1.77868630E+02	1.36784010E+02
9.47266000E+11	1.75753780E+02	1.35502450E+02
9.52148000E+11	1.75008700E+02	1.35918850E+02
9.57031000E+11	1.74246690E+02	1.36335020E+02
9.61914000E+11	1.73467740E+02	1.36751000E+02
9.66797000E+11	1.72671860E+02	1.37166820E+02
9.71680000E+11	1.71859050E+02	1.37582540E+02
9.76563000E+11	1.72722660E+02	1.38273910E+02
9.81445000E+11	1.71884450E+02	1.38688190E+02
9.86328000E+11	1.70791760E+02	1.40582190E+02
9.91211000E+11	1.71637270E+02	1.41278140E+02
9.96094000E+11	1.70757940E+02	1.41698400E+02
1.00098000E+12	1.69861710E+02	1.42118750E+02
1.00586000E+12	1.70690300E+02	1.42812010E+02
1.01074000E+12	1.69768710E+02	1.43231150E+02
1.01563000E+12	1.68830200E+02	1.43650470E+02
1.02051000E+12	1.69641880E+02	1.44341090E+02
1.02539000E+12	1.68678010E+02	1.44759330E+02
1.03027000E+12	1.67930460E+02	1.43632160E+02
1.03516000E+12	1.68491990E+02	1.45865890E+02
1.04004000E+12	1.67718790E+02	1.44723110E+02
1.04492000E+12	1.66694310E+02	1.45133700E+02
1.04980000E+12	1.67473250E+02	1.45811900E+02
1.05469000E+12	1.64823140E+02	1.44371650E+02
1.05957000E+12	1.65586210E+02	1.45040040E+02
1.06445000E+12	1.66349280E+02	1.45708430E+02
1.06934000E+12	1.61765990E+02	1.43978350E+02
1.07422000E+12	1.62504650E+02	1.44635780E+02
1.07910000E+12	1.65119670E+02	1.45555860E+02
1.08398000E+12	1.62321630E+02	1.44056800E+02
1.08887000E+12	1.61156840E+02	1.44446740E+02
1.09375000E+12	1.61879520E+02	1.45094490E+02
1.09863000E+12	1.62602200E+02	1.45742230E+02
1.10352000E+12	1.61403400E+02	1.46130590E+02
1.10840000E+12	1.62117580E+02	1.46777190E+02
1.11328000E+12	1.60893280E+02	1.47165210E+02
1.11816000E+12	1.61822460E+02	1.46123810E+02
1.12305000E+12	1.60570930E+02	1.46504180E+02
1.12793000E+12	1.61269060E+02	1.47141160E+02
1.13281000E+12	1.59991990E+02	1.47521320E+02
1.13770000E+12	1.60681610E+02	1.48157190E+02
1.14258000E+12	1.59378990E+02	1.48537210E+02
1.14746000E+12	1.60060100E+02	1.49171990E+02
1.15234000E+12	1.60741210E+02	1.49806760E+02
1.15723000E+12	1.59404530E+02	1.50185630E+02
1.16211000E+12	1.60077130E+02	1.50819320E+02
1.16699000E+12	1.56896520E+02	1.49183660E+02
1.17188000E+12	1.55506840E+02	1.49558500E+02
1.17676000E+12	1.54100120E+02	1.49934520E+02
1.18164000E+12	1.54739540E+02	1.50556660E+02
1.18652000E+12	1.53307240E+02	1.50932910E+02
1.19141000E+12	1.53938130E+02	1.51554030E+02
1.19629000E+12	1.52480260E+02	1.51930570E+02
1.20117000E+12	1.53102630E+02	1.52550700E+02
1.20605000E+12	1.51619170E+02	1.52927600E+02
1.21094000E+12	1.52233020E+02	1.53546740E+02
1.21582000E+12	1.52846860E+02	1.54165880E+02
1.22070000E+12	1.51329300E+02	1.54542240E+02
1.22559000E+12	1.51934620E+02	1.55160410E+02
1.23047000E+12	1.52539940E+02	1.55778580E+02
1.23535000E+12	1.50988280E+02	1.56154490E+02
1.24023000E+12	1.51585070E+02	1.56771700E+02
1.24512000E+12	1.52181860E+02	1.57388910E+02
1.25000000E+12	1.50596100E+02	1.57764470E+02
1.25488000E+12	1.51184370E+02	1.58380740E+02
1.25977000E+12	1.51772630E+02	1.58997000E+02
1.26465000E+12	1.50152770E+02	1.59372300E+02
1.26953000E+12	1.50732510E+02	1.59987640E+02
1.27441000E+12	1.51312250E+02	1.60602980E+02
1.27930000E+12	1.51891990E+02	1.61218310E+02
1.28418000E+12	1.52471730E+02	1.61833650E+02
1.28906000E+12	1.46500990E+02	1.59783590E+02
1.29395000E+12	1.44793520E+02	1.60156680E+02
1.29883000E+12	1.45339910E+02	1.60761040E+02
1.30371000E+12	1.45886300E+02	1.61365410E+02
1.30859000E+12	1.46432690E+02	1.61969770E+02
1.31348000E+12	1.44682540E+02	1.62342140E+02
1.31836000E+12	1.45220390E+02	1.62945640E+02
1.32324000E+12	1.45758240E+02	1.63549140E+02
1.32813000E+12	1.44172250E+02	1.61909830E+02
1.33301000E+12	1.44702290E+02	1.62505090E+02
1.33789000E+12	1.45032570E+02	1.65127050E+02
1.34277000E+12	1.45762380E+02	1.63695600E+02
