Reference	Reference	Reference	Reference	Reference	Sample	Sample	Sample	Sample	Sample
Frequency (THz)	Amplitude	Δ(Amplitude)	Phase	Δ(Phase)	Frequency (THz)	Amplitude	Δ(Amplitude)	Phase	Δ(Phase)
0.0	0.0005657050610688493		0.0		0.0	1.3545007446534312e-05		0.0	
0.011111111111108584	0.0005596404807936288		7.672435634987299		0.0111111111111149	1.3417504565948849e-05		7.996157645345717	
0.022222222222217168	0.0005420138688220647		15.338144552845016		0.0222222222222298	1.3071258912697728e-05		15.98091766732788	
0.03333333333332575	0.0005145963955174905		22.989618178182912		0.0333333333333447	1.2616476144687496e-05		23.943566344601535	
0.044444444444434336	0.0004805814701250631		30.61795305677191		0.0444444444444596	1.223571289660392e-05		31.876748103237823	
0.055555555555542924	0.000444942031110262		38.21304600675818		0.0555555555555745	1.2159485347697159e-05		39.78229269096265	
0.0666666666666515	0.00041473455587495006		45.76636184894305		0.0666666666666894	1.2595164819161671e-05		47.67634670085451	
0.07777777777776008	0.00039861213924655993		53.278621315129406		0.0777777777778043	1.3630518185878948e-05		55.584126509539786	
0.08888888888886867	0.0004043402689760883		60.76896433346763		0.0888888888889192	1.5196026287257474e-05		63.52508209494396	
0.09999999999997726	0.0004348940473751659		68.27031437803396		0.1000000000000341	1.7118109674206316e-05		71.50489750341197	
0.11111111111108585	0.0004870980787872783		75.8081645085208		0.111111111111149	1.9194812571144742e-05		79.51938239780671	
0.12222222222219442	0.0005543709414937787		83.38889082120014		0.12222222222226391	2.1239499881844127e-05		87.56095345993138	
0.133333333333303	0.0006299791891947086		91.00628765462156		0.1333333333333788	2.3095025576965247e-05		95.62220145205586	
0.1444444444444116	0.0007084589575328533		98.650811727114		0.1444444444444937	2.4635612309993674e-05		103.69693764939346	
0.15555555555552017	0.0007857730553092675		106.3139068667565		0.1555555555556086	2.5766048002818683e-05		111.78014898011577	
0.16666666666662877	0.0008591051071457846		113.98894342410142		0.1666666666667235	2.6421224662354834e-05		119.86764273706703	
0.17777777777773734	0.0009266544788302601		121.67099021122308		0.1777777777778384	2.6566503785325508e-05		127.95565358184385	
0.18888888888884592	0.0009874966492089568		129.3563932365355		0.1888888888889533	2.619881852730358e-05		136.0404706526595	
0.19999999999995452	0.001041489135539603		137.04243913317612		0.2000000000000682	2.5348499357852217e-05		144.11807557278533	
0.2111111111110631	0.0010891917498398154		144.7271437421145		0.2111111111111831	2.408204434657973e-05		152.18378064595322	
0.2222222222221717	0.0011317744768853137		152.40914465658517		0.222222222222298	2.2506199565490843e-05		160.2319127652652	
0.23333333333328027	0.0011708927826480113		160.08766387054135		0.2333333333334129	2.0773281571844765e-05		168.25576057557905	
0.24444444444438884	0.001208518240773857		167.76250260258527		0.24444444444452781	1.9085289109139384e-05		176.24839772500727	
0.2555555555554974	0.0012467242804445103		175.43402723020853		0.2555555555556427	1.768741231479974e-05		184.2055213819251	
0.266666666666606	0.0012874432890840571		183.10310771209288		0.2666666666667576	1.6830696146763007e-05		192.13084939130093	
0.2777777777777146	0.0013322286598560977		190.77098520700133		0.2777777777778725	1.6689213687254735e-05		200.040342252671	
0.2888888888888232	0.0013820656774065098		198.43907479558365		0.2888888888889874	1.7272101557513613e-05		207.95730106735073	
0.29999999999993177	0.0014372704179501812		206.1087410602314		0.3000000000001023	1.8417766323559205e-05		215.8996140597916	
0.31111111111104034	0.0014974951480175914		213.78110047937642		0.3111111111112172	1.9879406883942067e-05		223.87276574045302	
0.3222222222221489	0.0015618309514969287		221.45689476367463		0.3222222222223321	2.141645017986785e-05		231.872926229121	
0.33333333333325754	0.001628976612408206		229.13645078942764		0.333333333333447	2.284025460078064e-05		239.89259158831862	
0.3444444444443661	0.0016974351381510067		236.8197139975489		0.3444444444445619	2.402502212117839e-05		247.9239124740709	
0.3555555555554747	0.0017657045833797396		244.50632690640427		0.3555555555556768	2.4906316917441266e-05		255.9598198959757	
0.36666666666658326	0.0018324412759301227		252.19572443017034		0.3666666666667917	2.5478338717762218e-05		263.99418320669866	
0.37777777777769184	0.0018965846425791427		259.8872264165442		0.3777777777779066	2.5792392878656386e-05		272.0218052855009	
0.38888888888880047	0.0019574403765023115		267.58011785341074		0.3888888888890215	2.595480815728786e-05		280.03865985315826	
0.39999999999990904	0.0020147225064906732		275.2737144215403		0.4000000000001364	2.6119912694525648e-05		288.04255366417135	
0.4111111111110176	0.0020685563180191176		282.96741459306793		0.4111111111112513	2.6471881052357107e-05		296.0341131469499	
0.4222222222221262	0.0021194445579978028		290.66074007637695		0.4222222222223662	2.719108104589867e-05		304.01749675808634	
0.43333333333323476	0.002168200104605839		298.35336531102416		0.4333333333334811	2.8409890253867622e-05		311.99986877768544	
0.4444444444443434	0.002215849979522193		306.04513506603564		0.444444444444596	3.0176029592515877e-05		319.9892742619592	
0.45555555555545196	0.002263518356485478		313.73606796274817		0.4555555555557109	3.244284353890585e-05		327.99202561001636	
0.46666666666656054	0.0023122996191152555		321.42634369507255		0.4666666666668258	3.508875515527434e-05		336.011250201554	
0.4777777777776691	0.0023631355198183253		329.11627325389935		0.4777777777779407	3.795040169245323e-05		344.04707009033484	
0.4888888888887777	0.002416711761352328		336.8062543634309		0.48888888888905563	4.0852997683791716e-05		352.097644342674	
0.49999999999988626	0.002473387764745822		344.49671768208145		0.5000000000001705	4.363122767891532e-05		360.1602085430075	
0.5111111111109948	0.002533168754990991		352.1880717688		0.5111111111112854	4.614164601571167e-05		368.2317515632956	
0.5222222222221035	0.002595722507161393		359.88065525869536		0.5222222222224003	4.8269768155549275e-05		376.3093446974314	
0.533333333333212	0.0026604359421727435		367.57470287618276		0.5333333333335152	4.993438554618422e-05		384.3902508822546	
0.5444444444443206	0.002726501120381383		375.27032857955453		0.5444444444446301	5.1090489250193154e-05		392.47192616160055	
0.5555555555554292	0.0027930172118606775		382.9675255570676		0.555555555555745	5.1731353986649844e-05		400.55198609672476	
0.5666666666665378	0.002859094825686703		390.66618010299914		0.5666666666668599	5.188982211424978e-05		408.6281826512225	
0.5777777777776464	0.0029239509289629094		398.36609509434794		0.5777777777779748	5.163845056327275e-05		416.6984255913472	
0.5888888888887549	0.0029869854520360463		406.06701872492954		0.5888888888890897	5.1087778166677e-05		424.76088002313213	
0.5999999999998635	0.0030478337040168247		413.7686748346977		0.6000000000002046	5.0381470175460175e-05		432.81416706162634	
0.6111111111109722	0.0031063914497253533		421.470792067704		0.6111111111113195	4.968664427471601e-05		440.8576706615185	
0.6222222222220807	0.0031628118363485396		429.17312984277123		0.6222222222224344	4.917779598393863e-05		448.8918917892396	
0.6333333333331893	0.0032174754407250537		436.8754995929829		0.6333333333335494	4.901429086915778e-05		456.91869575904855	
0.6444444444442978	0.0032709367206745672		444.5777799768555		0.6444444444446642	4.9314852671138316e-05		464.9412361039565	
0.6555555555554065	0.00332385218518199		452.2799249504113		0.6555555555557792	5.013643475968268e-05		472.96342437792373	
0.6666666666665151	0.0033768975537658732		459.9819639081035		0.666666666666894	5.146572889808459e-05		480.9890745118887	
0.6777777777776236	0.0034306827608002926		467.6839936906612		0.677777777778009	5.322693342471277e-05		489.0210872371862	
0.6888888888887322	0.0034856744529508654		475.38616313570424		0.6888888888891238	5.530203220929899e-05		497.0610112992819	
0.6999999999998407	0.0035421352267428715		483.0886518746149		0.7000000000002388	5.7555485662700215e-05		505.1090557087812	
0.7111111111109494	0.003600087066901256		490.7916459965308		0.7111111111113536	5.985624919472256e-05		513.1643931563824	
0.722222222222058	0.003659303429610984		498.495313722951		0.7222222222224685	6.209383667923912e-05		521.2255449309739	
0.7333333333331665	0.003719330678012009		506.1997841810723		0.7333333333335834	6.418834984328474e-05		529.2907158283907	
0.7444444444442752	0.003779535838117243		513.9051317357148		0.7444444444446983	6.609576343195146e-05		537.3580401686208	
0.7555555555553837	0.0038391745896755045		521.6113673303756		0.7555555555558132	6.780976228213706e-05		545.4257535939589	
0.7666666666664923	0.0038974714806990747		529.3184371871305		0.7666666666669281	6.936087424811754e-05		553.4923210426051	
0.7777777777776009	0.0039537036590883805		537.0262282879894		0.777777777778043	7.081304754318124e-05		561.5565456627822	
0.7888888888887094	0.0040072797618088424		544.7345794573093		0.7888888888891579	7.225743012963114e-05		569.6176683167987	
0.7999999999998181	0.004057806653254629		552.4432965976468		0.8000000000002728	7.380306843531172e-05		577.6754488412422	
0.8111111111109266	0.004105138124823256		560.1521706078634		0.8111111111113877	7.556466309958019e-05		585.730203799808	
0.8222222222220352	0.004149401230732197		567.8609965976531		0.8222222222225026	7.764839390349583e-05		593.7827693054659	
0.8333333333331439	0.004190997558410954		575.5695930869556		0.8333333333336175	8.013787934241013e-05		601.8343701622501	
0.8444444444442524	0.004230578452780217		583.2778198749279		0.8444444444447324	8.308300134500115e-05		609.8864082830144	
0.855555555555361	0.004268995124423852		590.9855931844313		0.8555555555558473	8.649403764097301e-05		617.9402190468123	
0.8666666666664695	0.004307226732893004		598.6928966068627		0.8666666666669622	9.034222700573535e-05		625.9968607203022	
0.8777777777775781	0.004346291890690688		606.3997864110837		0.8777777777780771	9.456614533338256e-05		634.056987222486	
0.8888888888886868	0.004387151342943965		614.1063900713078		0.888888888889192	9.908195258674537e-05		642.1208189924552	
0.8999999999997953	0.004430611420780591		621.8128974954722		0.9000000000003069	0.00010379516274113324		650.188193427566	
0.9111111111109039	0.004477238722839401		629.5195453722836		0.9111111111114218	0.00010861196101273721		658.2586607993403	
0.9222222222220124	0.004527295902510853		637.2265961371348		0.9222222222225367	0.00011344878745086733		666.3315937873476	
0.9333333333331211	0.004580706260027481		644.934314011179		0.9333333333336516	0.00011823953023964537		674.406289838841	
0.9444444444442296	0.00463705130738409		652.6429411076309		0.9444444444447665	0.00012294006740844662		682.4820568464627	
0.9555555555553382	0.0046956012389227355		660.3526765473315		0.9555555555558815	0.00012753009131072815		690.5582799920556	
0.9666666666664468	0.004755374157160356		668.063660895864		0.9666666666669963	0.00013201225079714386		698.6344706769377	
