time_ps,amplitude
122.5,-6.66667e-07
122.55,-9.33333e-06
122.6,2.73333e-05
122.65,-1.4e-05
122.7,-2.26667e-05
122.75,7.33333e-06
122.8,-1.6e-05
122.85,6.66667e-07
122.9,4e-06
122.95,-3.66667e-05
123.0,3.66667e-05
123.05,-5e-05
123.1,-2.86667e-05
123.15,-7.33333e-06
123.2,-2.6e-05
123.25,-4.66667e-06
123.3,-1.33333e-06
123.35,3.33333e-06
123.4,1.8e-05
123.45,1.2e-05
123.5,-1.46667e-05
123.55,2.33333e-05
123.6,-4.66667e-06
123.65,3.8e-05
123.7,2.2e-05
123.75,4e-06
123.8,4.73333e-05
123.85,1.8e-05
123.9,-1.46667e-05
123.95,-1.13333e-05
124.0,1.73333e-05
124.05,2.73333e-05
124.1,4.86667e-05
124.15,3.66667e-05
124.2,2.2e-05
124.25,3.6e-05
124.3,2.8e-05
124.35,6.13333e-05
124.4,9.46667e-05
124.45,0.000152
124.5,0.000203333
124.55,0.000218
124.6,0.000278667
124.65,0.000332
124.7,0.000291333
124.75,0.000162667
124.8,7.66667e-05
124.85,-4.86667e-05
124.9,-0.000402667
124.95,-0.000608667
125.0,-0.000837333
125.05,-0.000998667
125.1,-0.000956
125.15,-0.000693333
125.2,-0.000222
125.25,0.000432
125.3,0.00106
125.35,0.00153
125.4,0.00162
125.45,0.00123
125.5,0.000438667
125.55,-0.000538
125.6,-0.00146
125.65,-0.00181
125.7,-0.00159
125.75,-0.000748667
125.8,0.000306667
125.85,0.00133
125.9,0.0017
125.95,0.00125
126.0,0.000381333
126.05,-0.000749333
126.1,-0.00144
126.15,-0.00125
126.2,-0.000572667
126.25,0.000378
126.3,0.00109
126.35,0.00113
126.4,0.000571333
126.45,-0.000156667
126.5,-0.000808
126.55,-0.000919333
126.6,-0.000563333
126.65,0.000103333
126.7,0.000518667
126.75,0.000597333
126.8,0.000294
126.85,-7.86667e-05
126.9,-0.000425333
126.95,-0.000501333
127.0,-0.000198667
127.05,9.73333e-05
127.1,0.000282
127.15,0.000237333
127.2,0.000109333
127.25,-0.000158
127.3,-0.000208
127.35,-0.000176667
127.4,2.06667e-05
127.45,0.000131333
127.5,0.000145333
127.55,3.4e-05
127.6,-5.2e-05
127.65,-8.13333e-05
127.7,-0.000105333
127.75,-5.66667e-05
127.8,-2.06667e-05
127.85,9.6e-05
127.9,4.93333e-05
127.95,1.73333e-05
128.0,-2.53333e-05
128.05,6.66667e-07
128.1,-2.66667e-05
128.15,-3.06667e-05
128.2,-1.4e-05
128.25,2.33333e-05
128.3,-1e-05
128.35,2.26667e-05
128.4,-4.66667e-05
128.45,-1.33333e-05
128.5,-1.33333e-06
128.55,-1.73333e-05
128.6,-9.33333e-06
128.65,-6e-06
128.7,2.66667e-05
128.75,3.73333e-05
128.8,-1.46667e-05
128.85,-6.4e-05
128.9,-3.33333e-05
128.95,-6.26667e-05
129.0,1e-05
129.05,-7.33333e-06
129.1,2.93333e-05
129.15,4.66667e-05
129.2,-4e-06
129.25,-1.13333e-05
129.3,1.8e-05
129.35,-3.46667e-05
129.4,3.2e-05
129.45,1.86667e-05
129.5,-3.86667e-05
129.55,-8.66667e-06
129.6,3.33333e-06
129.65,-2.46667e-05
129.7,1.13333e-05
129.75,4.33333e-05
129.8,7e-05
129.85,1.06667e-05
129.9,-2.46667e-05
129.95,-2.93333e-05
130.0,4.13333e-05
130.05,-4.26667e-05
130.1,-1.86667e-05
130.15,-1.73333e-05
130.2,4.66667e-06
130.25,-5.33333e-06
130.3,-3e-05
130.35,-8.66667e-06
130.4,-2.93333e-05
130.45,2.4e-05
130.5,-3.53333e-05
130.55,1.33333e-06
130.6,3.53333e-05
130.65,-2.46667e-05
130.7,-4.66667e-06
130.75,-1.86667e-05
130.8,-3.06667e-05
130.85,2e-05
130.9,1.6e-05
130.95,4.66667e-05
131.0,-2.66667e-06
131.05,4.8e-05
131.1,6e-06
131.15,2.53333e-05
131.2,-4.66667e-06
131.25,-2.06667e-05
131.3,6.66667e-07
131.35,7.33333e-06
131.4,2.6e-05
131.45,1.33333e-06
