ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude,raw_ref_time_ps,raw_ref_amplitude,raw_sample_time_ps,raw_sample_amplitude
120.25,-0.0,122.55000000000001,-0.0,120.25,-0.000116,122.49999999999999,-6.66667e-07
120.29999999999998,-4.966759687093886e-07,122.6,9.449486141928442e-08,120.29999999999998,-0.000143667,122.55000000000001,-9.33333e-06
120.35000000000001,-1.2816075260837554e-06,122.65,-1.9293016521690943e-07,120.35000000000001,-9.3e-05,122.6,2.73333e-05
120.39999999999999,-2.8464526564102985e-06,122.7,-6.987694410040074e-07,120.39999999999999,-9.23333e-05,122.65,-1.4e-05
120.45,-8.335683386512549e-06,122.74999999999999,3.9866380393531774e-07,120.45,-0.000153333,122.7,-2.26667e-05
120.5,-1.3057451267420898e-05,122.80000000000001,-1.3449764073231982e-06,120.5,-0.000155333,122.74999999999999,7.33333e-06
120.54999999999998,-1.2827431886626025e-05,122.85,7.967377724987947e-08,120.54999999999998,-0.000107333,122.80000000000001,-1.6e-05
120.60000000000001,-2.221747592254468e-05,122.9,6.408871879407409e-07,120.60000000000001,-0.000138667,122.85,6.66667e-07
120.64999999999999,-2.85827954582028e-05,122.95,-7.539832994440897e-06,120.64999999999999,-0.000139,122.9,4e-06
120.7,-3.5630745846308335e-05,122.99999999999999,9.354119933290139e-06,120.7,-0.000139667,122.95,-3.66667e-05
120.75,-4.2398555707181995e-05,123.05,-1.539895389133997e-05,120.75,-0.000137667,122.99999999999999,3.66667e-05
120.79999999999998,-4.8103229899179273e-05,123.1,-1.0420385395561217e-05,120.79999999999998,-0.000132333,123.05,-5e-05
120.85000000000001,-3.858354845001222e-05,123.15,-3.0866813505332703e-06,120.85000000000001,-9.16667e-05,123.1,-2.86667e-05
120.89999999999999,-2.588840225813023e-05,123.2,-1.2464786272433073e-05,120.89999999999999,-5.4e-05,123.15,-7.33333e-06
120.95,-3.659781018963836e-05,123.24999999999999,-2.5116162187894067e-06,120.95,-6.8e-05,123.2,-2.6e-05
121.0,-3.061841579674266e-05,123.3,-7.952820553962223e-07,121.0,-5.13333e-05,123.24999999999999,-4.66667e-06
121.04999999999998,-1.9601670964140957e-06,123.35,2.177961262496666e-06,121.04999999999998,-3e-06,123.3,-1.33333e-06
121.1,-2.7855602586138756e-05,123.4,1.274748995254651e-05,121.1,-3.93333e-05,123.35,3.33333e-06
121.15000000000002,2.2296819908968794e-05,123.45,9.121436691665293e-06,121.15000000000002,2.93333e-05,123.4,1.8e-05
121.2,4.3386762477536907e-05,123.49999999999999,-1.185727144074986e-05,121.2,5.36667e-05,123.45,1.2e-05
121.25,4.916154578034389e-05,123.55,1.9891915024728276e-05,121.25,5.76667e-05,123.49999999999999,-1.46667e-05
121.29999999999998,0.00011294902894172183,123.6,-4.161272035269368e-06,121.29999999999998,0.000126667,123.55,2.33333e-05
121.35,0.00014529918589711201,123.65,3.516795582223094e-05,121.35,0.000157,123.6,-4.66667e-06
121.40000000000002,0.00014808840385059632,123.7,2.0973939116048223e-05,121.40000000000002,0.000155333,123.65,3.8e-05
121.45,0.0002157952262889242,123.74999999999999,3.899919601485982e-06,121.45,0.000221333,123.7,2.2e-05
121.5,0.0002583980013529357,123.8,4.6861418074478585e-05,121.5,0.000261,123.74999999999999,4e-06
121.54999999999998,0.0003527341032114933,123.85,1.7969490134821483e-05,121.54999999999998,0.000353333,123.8,4.73333e-05
121.6,0.000432,123.9,-1.46667e-05,121.6,0.000432,123.85,1.8e-05
121.65000000000002,0.000484,123.95,-1.13333e-05,121.65000000000002,0.000484,123.9,-1.46667e-05
121.7,0.000676333,123.99999999999999,1.73333e-05,121.7,0.000676333,123.95,-1.13333e-05
