ref_frequency_thz,ref_amplitude,ref_phase,sample_frequency_thz,sample_amplitude,sample_phase
0.0,0.007924957432001537,0.0,0.0,0.00032566011023083447,3.141592653589793
0.022296544035679156,0.00886462371575826,0.2139541557947856,0.022296544035679156,0.00042605693144729436,1.6327039737186853
0.04459308807135831,0.011502698784313996,0.29333296446233276,0.04459308807135831,0.0006152587706178907,0.5170923652181364
0.06688963210703748,0.015417177291152476,0.22434705146338374,0.06688963210703748,0.0007895104635583443,-0.408762847883694
0.08918617614271662,0.020081737901434568,0.050783664025699074,0.08918617614271662,0.000912771055788954,-1.2459815357302761
0.11148272017839578,0.024952045015785372,-0.18416002409283627,0.11148272017839578,0.0009765940024916487,-2.0238009329324775
0.13377926421407496,0.02957823075137699,-0.4492428015281741,0.13377926421407496,0.0009890966296514686,-2.7492966138698334
0.1560758082497541,0.03372010591902085,-0.7233422971823715,0.1560758082497541,0.0009688981008558937,-3.4250151689881774
0.17837235228543324,0.037415667354506826,-0.9934803998636367,0.17837235228543324,0.0009361649012400827,-4.058077273249278
0.20066889632111243,0.040954575430494834,-1.2545177867657822,0.20066889632111243,0.0009018529999746984,-4.662031042632062
0.22296544035679156,0.04473177810329443,-1.5088833824628587,0.22296544035679156,0.0008632132998177433,-5.247698432117486
0.24526198439247074,0.049032003761104906,-1.7638971490005169,0.24526198439247074,0.0008123651863637956,-5.810015690924348
0.2675585284281499,0.05388018553168514,-2.0267185051556744,0.2675585284281499,0.0007533994488705136,-6.324763656214634
0.289855072463829,0.05906272308697393,-2.3003677934041074,0.289855072463829,0.0007153978802051238,-6.76855577875907
0.3121516164995082,0.06428291102772403,-2.58335016966875,0.3121516164995082,0.0007405518296701606,-7.171186864581425
0.3344481605351874,0.06932786802561837,-2.871821441657444,0.3344481605351874,0.0008378581462812255,-7.617250800248792
0.3567447045708665,0.0741546994628127,-3.16207438758932,0.3567447045708665,0.0009668955124392821,-8.14463632011291
0.37904124860654564,0.07887121800583238,-3.452123140002587,0.37904124860654564,0.0010781851021644238,-8.725395981305635
0.40133779264222486,0.08364013929903116,-3.742054460906915,0.40133779264222486,0.0011470854287828631,-9.31445055670443
0.42363433667790396,0.08857024010638222,-4.033283602963965,0.42363433667790396,0.001187762019895092,-9.874329627849797
0.4459308807135831,0.0936608562468343,-4.327307739906747,0.4459308807135831,0.0012517386952404874,-10.39462521417436
