ref_frequency_thz,ref_amplitude,ref_phase,sample_frequency_thz,sample_amplitude,sample_phase
0.0,0.0077959627072015335,0.0,0.0,0.00032856814321458397,3.141592653589793
0.022296544035679156,0.008829682163975613,0.22766767446118522,0.022296544035679156,0.00042989008711297183,1.6352155565111353
0.04459308807135831,0.011598681561708896,0.2998060746204868,0.04459308807135831,0.0006203010343454079,0.5224995744855022
0.06688963210703748,0.015529235388995451,0.22117572601777827,0.06688963210703748,0.0007945652183427957,-0.4007490761631921
0.08918617614271662,0.02010943978161442,0.04448488213402447,0.08918617614271662,0.0009161460418237012,-1.2357945944066149
0.11148272017839578,0.02487435932352747,-0.18865191964899913,0.11148272017839578,0.000976675471111167,-2.0118373020344364
0.13377926421407496,0.029445927055510267,-0.4501331466657572,0.13377926421407496,0.0009847810760695245,-2.7357698906573127
0.1560758082497541,0.03361697969204785,-0.7212259181410959,0.1560758082497541,0.000959870267009563,-3.4098866891613775
0.17837235228543324,0.037407974398256896,-0.9903624255219147,0.17837235228543324,0.0009229142080852031,-4.041293125007401
0.20066889632111243,0.04104874814614925,-1.25264566248047,0.20066889632111243,0.00088531084250824,-4.644081536757169
0.22296544035679156,0.04486659027463195,-1.5094578550426607,0.22296544035679156,0.0008441511409079699,-5.229862927423921
0.24526198439247074,0.049118344132358736,-1.7663949574726663,0.24526198439247074,0.0007909752753957061,-5.793722192266534
0.2675585284281499,0.05386348790547229,-2.0294613240154535,0.2675585284281499,0.000729268001108565,-6.310206425228669
0.289855072463829,0.05895990147731991,-2.3018044470817767,0.289855072463829,0.0006880024361479217,-6.753290995117569
0.3121516164995082,0.06416901648316266,-2.5829626132851042,0.3121516164995082,0.0007102723590957787,-7.152465642328596
0.3344481605351874,0.0692865983998542,-2.8702099472373983,0.3344481605351874,0.0008056976492073384,-7.597451496840926
0.3567447045708665,0.07422549768512467,-3.1604332470399643,0.3567447045708665,0.0009333025857477311,-8.128373896404776
0.37904124860654564,0.07902386635670684,-3.4514908324567566,0.37904124860654564,0.0010432168841391994,-8.715366113884347
0.40133779264222486,0.08379268753752875,-3.7427267774353674,0.40133779264222486,0.0011105122806885968,-9.311359943035498
0.42363433667790396,0.08864066952301591,-4.034707418114049,0.42363433667790396,0.001148752972388565,-9.877120401808263
0.4459308807135831,0.09361945952521278,-4.328502236201841,0.4459308807135831,0.001209374259446532,-10.400570343630767
0.4682274247492623,0.09871394572635456,-4.624978381952241,0.4682274247492623,0.0013493463244572794,-10.918096931588947
0.4905239687849415,0.10387115508633353,-4.924468749154808,0.4905239687849415,0.0015762005357765124,-11.484983454006825
0.5128205128206206,0.10903937829825569,-5.226858489381021,0.5128205128206206,0.0018386550184541217,-12.118950526461388
0.5351170568562998,0.11419052207887502,-5.531874051543413,0.5351170568562998,0.002066250334562507,-12.802044539494576
0.5574136008919789,0.11931735534522586,-5.839316054620337,0.5574136008919789,0.0022032219891778035,-13.506268757911329
0.579710144927658,0.1244169377517887,-6.149107537580971,0.579710144927658,0.0022259886637190874,-14.203311680877244
0.6020066889633373,0.12947892856575596,-6.4611987860354185,0.6020066889633373,0.0021539691425702893,-14.86490145778913
0.6243032329990164,0.13448957607249348,-6.775466283247111,0.6243032329990164,0.0020548148006338117,-15.467170999756485
0.6465997770346955,0.13944641895397022,-7.091720154948373,0.6465997770346955,0.002028530584429613,-16.01107392102027
0.6688963210703748,0.14436751263214256,-7.4098266639924635,0.6688963210703748,0.0021461822094790395,-16.542260452934105
0.6911928651060538,0.14928097235060633,-7.729844833627546,0.6911928651060538,0.002386828594544611,-17.114677298403773
0.713489409141733,0.15419503773936577,-8.052044718985195,0.713489409141733,0.0026641144809228705,-17.740129638472848
0.7357859531774122,0.1590661361711371,-8.376743617195345,0.7357859531774122,0.0028973672849222317,-18.398051081101553
0.7580824972130913,0.16378991228839623,-8.704024019552898,0.7580824972130913,0.003049813665257234,-19.06142708988539
0.7803790412487704,0.1682308561882331,-9.033494453165915,0.7803790412487704,0.003137091083828649,-19.7083182073668
0.8026755852844497,0.1722845823626123,-9.364251837599134,0.8026755852844497,0.003218785293609925,-20.328180468728483
0.8249721293201288,0.17594588598894106,-9.695110745231341,0.8249721293201288,0.003369257996143176,-20.92795657221495
0.8472686733558079,0.17934687090514345,-10.025043333025758,0.8472686733558079,0.0036322122550481602,-21.52909276806533
0.8695652173914872,0.18273718279259007,-10.353668996658277,0.8695652173914872,0.003993609988607369,-22.150944521460843
0.8918617614271662,0.186401673307452,-10.681566296532234,0.8918617614271662,0.004399387262923469,-22.798155973376232
0.9141583054628455,0.1905432811659576,-11.010199986449543,0.9141583054628455,0.0047943005023880604,-23.463400431732023
0.9364548494985246,0.1951847436704733,-11.34142293666886,0.9364548494985246,0.005149092149569229,-24.135813548852084
0.9587513935342037,0.20014093703734248,-11.676771105477611,0.9587513935342037,0.005467731151027601,-24.806875516084904
0.981047937569883,0.2050783939472886,-12.016912560156715,0.981047937569883,0.00577831557926229,-25.47315067433654
1.003344481605562,0.2096326114831867,-12.361499615983226,1.003344481605562,0.006113384396064661,-26.136515370643817
1.0256410256412412,0.21352859827575055,-12.709422427205077,1.0256410256412412,0.006489404819209009,-26.801907195854476
1.0479375696769204,0.21665608564485003,-13.059286281445848,1.0479375696769204,0.006897330266849665,-27.473758948216805
1.0702341137125997,0.21907595158323573,-13.409902746480718,1.0702341137125997,0.007309005231083336,-28.1535022597645
1.0925306577482787,0.2209632801595624,-13.76063144931995,1.0925306577482787,0.007692939812977543,-28.839398019455544
1.1148272017839578,0.22251597714891666,-14.111476528332634,1.1148272017839578,0.008028985639345837,-29.52794552026316
1.137123745819637,0.22386971559251628,-14.462927149803361,1.137123745819637,0.00831547285185894,-30.21558617311387
1.159420289855316,0.22505451174945254,-14.8156331616495,1.159420289855316,0.008567732747396235,-30.899985149257727
1.1817168338909954,0.2260058358766343,-15.170078068388412,1.1817168338909954,0.008810288057609323,-31.58065779161935
1.2040133779266746,0.22661529147028572,-15.52639622095614,1.2040133779266746,0.009066650876226412,-32.258883037067605
1.2263099219623537,0.22678897704949416,-15.884385179481379,1.2263099219623537,0.009350947234186353,-32.937005599833526
1.2486064659980327,0.22648426100524255,-16.243656539821302,1.2486064659980327,0.009664195793110912,-33.61746106390923
1.270903010033712,0.2257132306866012,-16.603813728666168,1.270903010033712,0.009995556778114353,-34.30195127136147
1.293199554069391,0.2245214821852662,-16.964559322572,1.293199554069391,0.010326946028694644,-34.99102153061055
1.3154960981050703,0.222963041057718,-17.325695834037745,1.3154960981050703,0.010639171334303326,-35.684031327608665
1.3377926421407496,0.22109051410249494,-17.687056992864214,1.3377926421407496,0.01091845974638075,-36.37940277984437
1.3600891861764286,0.21896591797029197,-18.048453169578057,1.3600891861764286,0.011162471738667515,-37.07508344624993
1.3823857302121076,0.21668045025680804,-18.40970739998363,1.3823857302121076,0.011384139617532235,-37.76922228903078
1.404682274247787,0.21436147903847202,-18.770797368840856,1.404682274247787,0.01161070182037929,-38.46099732430174
1.426978818283466,0.2121492173601903,-19.13203372575183,1.426978818283466,0.011875663320577538,-39.15131727813811
1.4492753623191452,0.2101432572796467,-19.49414474157434,1.4492753623191452,0.012204448679065082,-39.84290003678327
1.4715719063548245,0.20834151927951391,-19.858150788080575,1.4715719063548245,0.01259952926067741,-40.539371491609096
1.4938684503905033,0.20660717579510776,-20.22501641226055,1.4938684503905033,0.013033659587222211,-41.24368567483984
1.5161649944261826,0.20469160565763242,-20.595208929720116,1.5161649944261826,0.013456443515788901,-41.95675952981439
1.5384615384618618,0.2023154635364849,-20.968367123158288,1.5384615384618618,0.013811890003145949,-42.67702872497446
1.5607580824975409,0.19928130060058466,-21.34323921646302,1.5607580824975409,0.014059447332982292,-43.40093920300893
1.5830546265332202,0.19557589930456756,-21.717940196200622,1.5830546265332202,0.014190843331289862,-44.12400139861919
1.6053511705688994,0.1914223380272581,-22.09048882904718,1.6053511705688994,0.014237219911266604,-44.84212139529844
1.6276477146045782,0.18725497534417906,-22.459524087249793,1.6276477146045782,0.014263041838079851,-45.5530484054551
1.6499442586402575,0.18361107882666491,-22.825011206403705,1.6499442586402575,0.014345929385335158,-46.257567762174645
1.6722408026759368,0.180962490483836,-23.188620015874132,1.6722408026759368,0.014547436455066365,-46.959665651448056
1.6945373467116158,0.17954605638921817,-23.553442402341076,1.6945373467116158,0.01488774606824668,-47.665068932022876
1.716833890747295,0.1792696648646696,-23.923013124206513,1.716833890747295,0.015338855298371342,-48.37877094937214
1.7391304347829744,0.17974263494901532,-24.30008998880456,1.7391304347829744,0.015839817898333875,-49.10316326418046
1.7614269788186532,0.18041315550087633,-24.685840642082173,1.7614269788186532,0.01632325158953169,-49.837771892117146
1.7837235228543324,0.1807436365417787,-25.079747015731883,1.7837235228543324,0.016738544826892094,-50.580221248515684
1.8060200668900117,0.18035359070600313,-25.480068419336373,1.8060200668900117,0.017063619234927555,-51.32752414808901
1.828316610925691,0.1790928775260996,-25.88452492391052,1.828316610925691,0.01730456890791066,-52.07711881123992
1.85061315496137,0.17704132276414644,-26.29095463307359,1.85061315496137,0.017486607185875247,-52.82746931521245
1.8729096989970493,0.1744491743813055,-26.69783204204127,1.8729096989970493,0.01764129794589371,-53.5782196960315
1.8952062430327283,0.17164092616215348,-27.104588755773936,1.8952062430327283,0.017795156713831743,-54.32996434487958
1.9175027870684074,0.16890984063238149,-27.51167651363873,1.9175027870684074,0.01796333668191124,-55.083787162693106
1.9397993311040866,0.16643289214274684,-27.92033503079661,1.9397993311040866,0.01814932061478052,-55.84079523198766
1.962095875139766,0.16423104468573754,-28.332118824298433,1.962095875139766,0.018348582592123765,-56.601836170364635
1.984392419175445,0.1621844292953331,-28.748352802888935,1.984392419175445,0.01855284077070242,-57.367443498403716
2.006688963211124,0.16009124395666174,-29.169724454975242,2.006688963211124,0.018752436029039532,-58.13791256030748
2.0289855072468033,0.15774453880720035,-29.596139400253048,2.0289855072468033,0.018936536662502813,-58.913368528120635
2.0512820512824823,0.15499968172468775,-30.02683688940542,2.0512820512824823,0.01909265849401702,-59.693749579301674
2.073578595318162,0.1518143455367112,-30.46067745693901,2.073578595318162,0.019207365577530007,-60.47872592557293
2.095875139353841,0.14825451334876427,-30.89650088865934,2.095875139353841,0.019269001632364505,-61.26763937427952
2.11817168338952,0.14446918834895625,-31.333470709033104,2.11817168338952,0.019271719377938007,-62.05954829559392
2.1404682274251994,0.14064279162434112,-31.771332531381848,2.1404682274251994,0.019218903853816076,-62.85341340613047
2.162764771460878,0.13693896769299857,-32.210515112211404,2.162764771460878,0.019123905334965982,-63.64839292504984
2.1850613154965575,0.13345252927783743,-32.652023272129284,2.1850613154965575,0.019006864968920095,-64.444154714917
2.207357859532236,0.13018512919641975,-33.09713590661658,2.207357859532236,0.018888045815644933,-65.24107429548708
2.2296544035679156,0.1270527727883914,-33.54701116965297,2.2296544035679156,0.01877991149449552,-66.0401987558371
2.2519509476035946,0.12392126565187564,-34.00235264083326,2.2519509476035946,0.01868132273284551,-66.84294505839878
2.274247491639274,0.12065511016026373,-34.463260256817016,2.274247491639274,0.01857672560765989,-67.65064175952412
2.296544035674953,0.11716170277227501,-34.92930177478815,2.296544035674953,0.018441008594458633,-68.46411979989598
2.318840579710632,0.11341653402339252,-35.3997576912231,2.318840579710632,0.018248032500045572,-69.28352938244497
2.3411371237463117,0.10946298376204731,-35.873950820476914,2.3411371237463117,0.017979304231719253,-70.10843469278726
