frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
1.15723,,,,,159.40453,150.18563
1.16211,,,,,160.07713,150.81932
1.16699,,,,,156.89652,149.18366
1.17188,,,,,155.50684,149.5585
1.17676,,,,,154.10012,149.93452
1.18164,,,,,154.73954,150.55666
1.18652,,,,,153.30724,150.93291
1.19141,,,,,153.93813,151.55403
1.19629,,,,,152.48026,151.93057
1.20117,,,,,153.10263,152.5507
1.20605,,,,,151.61917,152.9276
1.21094,,,,,152.23302,153.54674
1.21582,,,,,152.84686,154.16588
1.2207,,,,,151.3293,154.54224
1.22559,,,,,151.93462,155.16041
1.23047,,,,,152.53994,155.77858
1.23535,,,,,150.98828,156.15449
1.24023,,,,,151.58507,156.7717
1.24512,,,,,152.18186,157.38891
1.25,,,,,150.5961,157.76447
1.25488,,,,,151.18437,158.38074
1.25977,,,,,151.77263,158.997
1.26465,,,,,150.15277,159.3723
1.26953,,,,,150.73251,159.98764
1.27441,,,,,151.31225,160.60298
1.2793,,,,,151.89199,161.21831
1.28418,,,,,152.47173,161.83365
1.28906,,,,,146.50099,159.78359
1.29395,,,,,144.79352,160.15668
1.29883,,,,,145.33991,160.76104
1.30371,,,,,145.8863,161.36541
1.30859,,,,,146.43269,161.96977
1.31348,,,,,144.68254,162.34214
1.31836,,,,,145.22039,162.94564
1.32324,,,,,145.75824,163.54914
1.32813,,,,,144.17225,161.90983
1.33301,,,,,144.70229,162.50509
1.33789,,,,,145.03257,165.12705
1.34277,,,,,145.76238,163.6956
1.34766,,,,,143.93287,164.06032
1.35254,,,,,144.45437,164.65474
1.35742,,,,,144.97586,165.24916
1.3623,,,,,145.49736,165.84358
1.36719,,,,,143.82266,164.13398
1.37207,,,,,144.33632,164.72018
1.37695,,,,,144.84997,165.30637
1.38184,,,,,145.36362,165.89256
1.38672,,,,,138.77377,163.69534
1.3916,,,,,139.26241,164.27173
1.39648,,,,,139.75105,164.84812
1.40137,,,,,137.77935,165.20427
1.40625,,,,,138.44907,163.64084
1.41113,,,,,138.9298,164.20903
1.41602,,,,,136.92105,164.55863
1.4209,,,,,137.39319,165.12607
1.42578,,,,,137.86533,165.69351
1.43066,,,,,138.33747,166.26096
1.43555,,,,,136.2858,166.61077
1.44043,,,,,136.74936,167.17748
1.44531,,,,,137.21292,167.74418
1.4502,,,,,137.67647,168.31088
1.45508,,,,,135.58188,168.66105
1.45996,,,,,136.03686,169.22702
1.46484,,,,,136.49183,169.793
1.46973,,,,,136.9468,170.35898
1.47461,,,,,134.80929,170.70961
1.47949,,,,,135.25568,171.27487
1.48438,,,,,135.70206,171.84014
1.48926,,,,,131.0913,169.71443
1.49414,,,,,128.89069,170.06514
1.49902,,,,,129.3119,170.62091
1.50391,,,,,127.0855,170.97379
1.50879,,,,,127.49811,171.5289
1.51367,,,,,127.91073,172.08401
1.51855,,,,,128.32334,172.63912
1.52344,,,,,126.2264,170.66928
1.52832,,,,,126.63097,171.21629
1.5332,,,,,127.03554,171.76331
1.53809,,,,,127.44012,172.31033
1.54297,,,,,127.84469,172.85734
1.54785,,,,,125.52055,173.20415
1.55273,,,,,125.91652,173.75054
1.55762,,,,,126.31248,174.29692
1.5625,,,,,126.70844,174.84331
1.56738,,,,,124.51113,172.79736
1.57227,,,,,124.89902,173.33567
1.57715,,,,,125.2869,173.87398
1.58203,,,,,125.67479,174.41229
1.58691,,,,,120.62423,172.13504
1.5918,,,,,120.99538,172.66469
1.59668,,,,,121.36653,173.19434
1.60156,,,,,121.73768,173.72398
1.60645,,,,,124.94857,174.44801
1.61133,,,,,119.7946,172.12498
1.61621,,,,,120.15761,172.64657
1.62109,,,,,120.52063,173.16816
1.62598,,,,,120.88364,173.68976
1.63086,,,,,121.24665,174.21135
1.63574,,,,,121.60967,174.73294
1.64063,,,,,121.97268,175.25453
1.64551,,,,,122.3357,175.77612
1.65039,,,,,122.69871,176.29771
1.65527,,,,,120.13168,176.62822
1.66016,,,,,120.48605,177.14925
1.66504,,,,,120.84042,177.67027
1.66992,,,,,121.19479,178.1913
1.6748,,,,,121.54917,178.71233
1.67969,,,,,116.11479,176.28358
1.68457,,,,,116.45233,176.79603
1.68945,,,,,116.78987,177.30848
1.69434,,,,,114.12415,177.63948
1.69922,,,,,114.45304,178.15141
1.7041,,,,,120.82308,179.03307
1.70898,,,,,121.16928,179.54606
1.71387,,,,,121.51547,180.05905
1.71875,,,,,112.8752,177.38035
1.72363,,,,,113.19587,177.88427
1.72852,,,,,113.51654,178.3882
1.7334,,,,,116.91389,179.07293
1.73828,,,,,114.15787,179.39604
1.74316,,,,,114.47854,179.89996
1.74805,,,,,111.84809,177.53828
1.75293,,,,,112.16051,178.03419
1.75781,,,,,112.47294,178.53011
1.7627,,,,,115.91829,179.20499
1.76758,,,,,113.09778,179.52195
1.77246,,,,,113.41021,180.01786
1.77734,,,,,110.71349,177.60139
1.78223,,,,,111.01765,178.0893
1.78711,,,,,111.3218,178.57722
1.79199,,,,,111.62596,179.06513
1.79688,,,,,115.12812,179.73049
1.80176,,,,,115.44097,180.21888
1.80664,,,,,115.75382,180.70728
1.81152,,,,,116.06667,181.19568
1.81641,,,,,109.91399,181.3304
1.82129,,,,,110.20945,181.81785
1.82617,,,,,107.39991,179.31924
1.83105,,,,,107.68708,179.7987
1.83594,,,,,107.97424,180.27817
1.84082,,,,,108.26141,180.75763
1.8457,,,,,108.54857,181.23709
1.85059,,,,,112.13379,181.889
1.85547,,,,,109.12291,182.19602
1.86035,,,,,109.41007,182.67548
1.86523,,,,,106.51683,180.10632
1.87012,,,,,103.4583,180.41394
1.875,,,,,103.72843,180.885
1.87988,,,,,110.70814,181.69071
1.88477,,,,,107.63219,181.99225
1.88965,,,,,107.91102,182.46373
1.89453,,,,,101.56488,179.67929
1.89941,,,,,101.82664,180.14238
1.9043,,,,,102.08841,180.60547
1.90918,,,,,102.35017,181.06857
1.91406,,,,,106.03234,181.69405
1.91895,,,,,109.73195,182.32569
1.92383,,,,,110.01117,182.78962
1.92871,,,,,110.29038,183.25356
1.93359,,,,,107.1143,183.54807
1.93848,,,,,107.38479,184.01157
1.94336,,,,,104.18253,184.3102
1.94824,,,,,101.09889,181.59713
1.95313,,,,,101.35227,182.05226
1.95801,,,,,101.60565,182.50739
1.96289,,,,,98.34665,182.80691
1.96777,,,,,98.59129,183.26165
1.97266,,,,,98.83594,183.7164
1.97754,,,,,99.08058,184.17114
1.98242,,,,,102.87255,184.78304
1.9873,,,,,103.12593,185.23817
1.99219,,,,,103.37931,185.6933
1.99707,,,,,96.61547,182.74129
2.00195,,,,,96.85169,183.18809
2.00684,,,,,97.08792,183.63489
2.01172,,,,,97.32414,184.08169
2.0166,,,,,101.17371,184.68275
2.02148,,,,,101.41868,185.12993
2.02637,,,,,101.66366,185.5771
2.03125,,,,,94.75663,182.56588
2.03613,,,,,94.98441,183.00474
2.04102,,,,,95.21219,183.4436
2.0459,,,,,95.43997,183.88246
2.05078,,,,,103.02681,184.62937
2.05566,,,,,99.58382,184.91171
2.06055,,,,,99.82037,185.35093
2.06543,,,,,100.05691,185.79015
2.07031,,,,,100.29345,186.22937
2.0752,,,,,100.52999,186.66859
2.08008,,,,,93.42758,183.57352
2.08496,,,,,93.64689,184.00445
2.08984,,,,,90.11156,184.29295
2.09473,,,,,90.3221,184.72354
2.09961,,,,,90.53264,185.15413
2.10449,,,,,90.74318,185.58472
2.10938,,,,,90.95372,186.01531
2.11426,,,,,98.76129,186.73996
2.11914,,,,,98.98937,187.17123
2.12402,,,,,99.21746,187.6025
2.12891,,,,,95.62072,187.88276
2.13379,,,,,88.29102,184.70743
2.13867,,,,,88.49306,185.1301
2.14355,,,,,88.6951,185.55277
2.14844,,,,,96.62732,186.2623
2.15332,,,,,92.97305,186.53887
2.1582,,,,,93.18388,186.96186
2.16309,,,,,85.72642,183.7366
2.16797,,,,,85.91993,184.15136
2.17285,,,,,86.11344,184.56611
2.17773,,,,,90.23,185.11717
2.18262,,,,,94.36415,185.6749
2.1875,,,,,94.57525,186.09028
2.19238,,,,,90.83693,186.36235
2.19727,,,,,91.03924,186.77741
2.20215,,,,,87.3912,183.6177
2.20703,,,,,87.58497,184.02483
2.21191,,,,,87.77874,184.43197
2.2168,,,,,87.97252,184.8391
2.22168,,,,,84.15873,185.11337
2.22656,,,,,88.36006,185.65337
2.23145,,,,,92.57901,186.20016
2.23633,,,,,92.78159,186.6076
2.24121,,,,,92.98417,187.01504
2.24609,,,,,93.18675,187.42248
2.25098,,,,,89.32892,187.68904
2.25586,,,,,89.52269,188.09618
2.26074,,,,,81.66932,184.70608
2.26563,,,,,81.84571,185.10502
2.27051,,,,,82.0221,185.50395
2.27539,,,,,82.19849,185.90288
2.28027,,,,,82.37488,186.30181
2.28516,,,,,82.55127,186.70075
2.29004,,,,,82.72767,187.09968
2.29492,,,,,87.04926,187.62948
2.2998,,,,,87.23447,188.02869
2.30469,,,,,87.41968,188.4279
2.30957,,,,,87.60489,188.82711
2.31445,,,,,87.7901,189.22633
2.31934,,,,,87.97532,189.62554
2.32422,,,,,88.16053,190.02475
2.3291,,,,,88.34574,190.42396
