Frequency	n	k	ε1	ε2	σRe	σIm
0.0						
0.022296544035679156						
0.04459308807135831	3.3629154352858315	7.2175810155323346	-40.78427549088907	48.54422920511935	120.42974212348398	103.65947929509434
0.06688963210703748	4.002728511988061	5.181909851089525	-10.830354164136509	41.4835566150157	154.37017254105785	44.02355927405054
0.08918617614271662	4.175955317690223	4.183721081940274	-0.06491927612625063	34.942064599722364	173.37030159551534	5.283756932850297
0.11148272017839578	4.183785432816455	3.601189793535616	4.535492618782078	30.133210798003216	186.8880639973892	-21.927347046768286
0.13377926421407496	4.123344840319254	3.214276550881447	6.67039892664108	26.507141262872363	197.2787438789017	-42.201803900554076
0.1560758082497541	4.035273639835358	2.929219109568376	7.70310875648955	23.640401316286535	205.26695310480636	-58.202341507072596
0.17837235228543324	3.941882827444945	2.7017349967174393	8.239068232817573	21.299845575735	211.36476586059663	-71.83544860163008
0.20066889632111243	3.8571503627271206	2.5141485238847348	8.556666120534167	19.39489778170372	216.51907126213388	-84.3604513244495
0.22296544035679156	3.784225765351046	2.364489070004689	8.729556080975069	17.895520921205353	221.97828712036653	-95.87838356929437
0.24526198439247074	3.71284955493987	2.2533999922159293	8.70744029269844	16.733070316400838	228.31501434349076	-105.16446221195028
0.2675585284281499	3.624683942278068	2.1712438556488363	8.424033800715652	15.740145476680514	234.29128756785624	-110.5063762399088
0.289855072463829	3.5079448044629373	2.090472803287634	7.935600209873257	14.666526418327855	236.50306435252733	-111.83907190930272
0.3121516164995082	3.3809292814841654	1.9775128407663745	7.520125771001139	13.371662135715939	232.20928509825052	-113.22704153516142
0.3344481605351874	3.2848807185592075	1.8336319146161495	7.428235336863169	12.046524242514785	224.13989753760893	-119.60495664526776
0.3567447045708665	3.2337828977428247	1.6925835411654395	7.592512785909841	10.946895416843573	217.25866306913238	-130.83896936926408
0.37904124860654564	3.2112523266883186	1.5771924215317192	7.824605571124051	10.129525666557834	213.60144269607773	-143.9105486090496
0.40133779264222486	3.1960409686012965	1.4903378672177088	7.993570914514884	9.526361761371353	212.69913606093175	-156.14843617738507
0.42363433667790396	3.1726940529804106	1.4220311399676342	8.043814990779616	9.023339481856533	212.66060692526844	-166.00749356936515
0.4459308807135831	3.137423434509466	1.3547343919653105	8.008120534635554	8.500750857775795	210.88876070772238	-173.85921304677916
0.4682274247492623	3.1025212819821433	1.275249729589818	7.999376432333218	7.912978851788767	206.12252353395232	-182.3244015204791
0.4905239687849415	3.0844033770337043	1.1880361383997504	8.102114326113128	7.328765354636543	199.99523523472865	-193.8101380768484
0.5128205128206206	3.086706448265883	1.1072043719714464	8.301855176453497	6.835229749024882	195.00560930411837	-208.31819412330356
0.5351170568562998	3.1026343290483753	1.0421835027567972	8.540193326371035	6.467028625642242	192.52280300517822	-224.4708100777466
0.5574136008919789	3.1233192631234985	0.995689266245941	8.763726104480932	6.219710930702499	192.8751871571907	-240.75558207168902
0.579710144927658	3.1407939580780604	0.9663641920004783	8.930726935518912	6.070301631076178	195.771636220506	-255.7717034415835
0.6020066889633373	3.1481296752858383	0.949816935431191	9.008568241583419	5.98029376103997	200.28684846742675	-268.21607063732733
0.6243032329990164	3.1404479029276633	0.9377407136180868	8.9830553850258	5.889851715143622	204.56368733025536	-277.26389809165306
0.6465997770346955	3.1193393720817535	0.9183474249781588	8.886916125255373	5.72927455996853	206.09325767631765	-283.70786218398456
0.6688963210703748	3.0962310107138507	0.8843445882341385	8.804581120967105	5.476270276495022	203.78503109302005	-290.42701073954646
0.6911928651060538	3.083046179242434	0.8410771409868599	8.797762986250742	5.186159331935377	199.42229052431605	-299.84573480189226
0.713489409141733	3.0815451589458114	0.7990419619419592	8.85745250967831	4.924567779233615	195.471861412579	-311.8874461439102
0.7357859531774122	3.086584309782233	0.7642679987811551	8.942897127432913	4.71795522701316	193.12295860102805	-325.1314858459491
0.7580824972130913	3.0921982608983236	0.7375281255356833	9.017742348746438	4.561166374290081	192.3627522148866	-338.14047947215397
0.7803790412487704	3.0940502724800116	0.7162909732176025	9.060074330320614	4.432480561717791	192.43365783584989	-349.92360693203767
0.8026755852844497	3.0904644380197337	0.6962120746428784	9.066259189786088	4.303237316007512	192.16042436922962	-360.19760825544654
0.8249721293201288	3.083188807603961	0.6730645454243244	9.053037341027082	4.150370146494649	190.48233478847698	-369.5962771304125
0.8472686733558079	3.076435706003474	0.6454101108308392	9.047902442010416	3.9711254199513064	187.18168449303468	-379.34332876084
0.8695652173914872	3.07367354537371	0.6154110094358949	9.068738352995286	3.7831450784696816	183.013764492357	-390.3340078310883
0.8918617614271662	3.0754462617934357	0.5865230986145733	9.114360363970777	3.6076405421793845	178.99850395526371	-402.6061767304634
0.9141583054628455	3.0800665121786843	0.5610481240567143	9.172034721937006	3.456131077255516	175.76816265251188	-415.6044710399173
0.9364548494985246	3.085285268819574	0.5394777389383995	9.227948959184983	3.3288854416054714	173.42603351556934	-428.65414775938245
