	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
6.66667E11	0.00335	459.97499	6.66667E11	4.98152E-5	480.96005	20.98506	11.9381	9.04696
6.77778E11	0.00341	467.67856	6.77778E11	5.09064E-5	489.00592	21.32736	12.137	9.19036
6.88889E11	0.00347	475.38255	6.88889E11	5.21167E-5	497.05187	21.66933	12.336	9.33333
7E11	0.00352	483.08692	7E11	5.34541E-5	505.09826	22.01134	12.535	9.47634
7.11111E11	0.00358	490.79167	7.11111E11	5.49239E-5	513.14536	22.3537	12.7339	9.6198
7.22222E11	0.00363	498.49675	7.22222E11	5.65286E-5	521.19343	22.69668	12.9329	9.76378
7.33333E11	0.00369	506.20214	7.33333E11	5.82689E-5	529.24262	23.04048	13.1319	9.90858
7.44444E11	0.00374	513.90782	7.44444E11	6.01445E-5	537.29307	23.38526	13.3308	10.05446
7.55556E11	0.0038	521.61377	7.55556E11	6.21544E-5	545.34485	23.73108	13.5298	10.20128
7.66667E11	0.00385	529.31997	7.66667E11	6.42981E-5	553.39797	24.078	13.7288	10.3492
7.77778E11	0.0039	537.02641	7.77778E11	6.65755E-5	561.45244	24.42603	13.9277	10.49833
7.88889E11	0.00395	544.73309	7.88889E11	6.89874E-5	569.50823	24.77514	14.1267	10.64844
8E11	0.004	552.43999	8E11	7.15353E-5	577.56531	25.12532	14.3257	10.79962
8.11111E11	0.00405	560.14714	8.11111E11	7.42215E-5	585.62366	25.47652	14.5246	10.95192
8.22222E11	0.0041	567.85453	8.22222E11	7.70485E-5	593.68326	25.82873	14.7236	11.10513
8.33333E11	0.00415	575.56218	8.33333E11	8.00189E-5	601.74409	26.18192	14.9226	11.25932
8.44444E11	0.0042	583.2701	8.44444E11	8.31344E-5	609.80616	26.53606	15.1215	11.41456
8.55556E11	0.00425	590.97832	8.55556E11	8.63959E-5	617.86948	26.89115	15.3205	11.57065
8.66667E11	0.0043	598.68687	8.66667E11	8.98026E-5	625.93404	27.24717	15.5195	11.72767
8.77778E11	0.00435	606.39576	8.77778E11	9.33517E-5	633.99986	27.6041	15.7184	11.8857
8.88889E11	0.0044	614.10502	8.88889E11	9.70384E-5	642.06696	27.96193	15.9174	12.04453
9E11	0.00445	621.81469	9E11	1.00855E-4	650.13532	28.32063	16.1164	12.20423
9.11111E11	0.0045	629.52478	9.11111E11	1.04793E-4	658.20494	28.68017	16.3153	12.36487
9.22222E11	0.00455	637.23531	9.22222E11	1.08839E-4	666.27581	29.04049	16.5143	12.52619
