time_ps,amplitude
9.900000000000000000e+01,0.000000000000000000e+00
9.904999999999999716e+01,0.000000000000000000e+00
9.909999999999999432e+01,0.000000000000000000e+00
9.915000000000000568e+01,-3.147619047618995056e-06
9.920000000000000284e+01,8.280952380952362815e-06
9.925000000000000000e+01,-4.576190476190462224e-06
9.930000000000001137e+01,-7.814285714285675770e-06
9.935000000000000853e+01,8.519047619047693176e-06
9.940000000000001990e+01,-6.861904761904733798e-06
9.945000000000001705e+01,-6.671428571428621298e-06
9.950000000000001421e+01,1.361428571428573544e-05
9.955000000000002558e+01,3.280952380952376806e-06
9.960000000000002274e+01,-1.861904761904720684e-06
9.965000000000001990e+01,1.204285714285714323e-05
9.970000000000003126e+01,1.094761904761904913e-05
9.975000000000002842e+01,8.757142857142860906e-06
9.980000000000003979e+01,9.138095238095248537e-06
9.985000000000003695e+01,1.409047619047619287e-05
9.990000000000003411e+01,1.804285714285714000e-05
9.995000000000004547e+01,2.185238095238096210e-05
1.000000000000000426e+02,2.123333333333332542e-05
1.000500000000000398e+02,3.999523809523811808e-05
1.001000000000000512e+02,2.461428571428569110e-05
1.001500000000000483e+02,3.390000000000003796e-05
1.002000000000000455e+02,3.375714285714285872e-05
1.002500000000000568e+02,4.070952380952382456e-05
1.003000000000000540e+02,6.385238095238098010e-05
1.003500000000000654e+02,5.390000000000002265e-05
1.004000000000000625e+02,5.766190476190474886e-05
1.004500000000000597e+02,6.480476190476192207e-05
1.005000000000000711e+02,8.113809523809523681e-05
1.005500000000000682e+02,7.551904761904761412e-05
1.006000000000000654e+02,9.523333333333334875e-05
1.006500000000000767e+02,9.485238095238096112e-05
1.007000000000000739e+02,1.194714285714285849e-04
1.007500000000000853e+02,1.412333333333333420e-04
1.008000000000000824e+02,1.331857142857142821e-04
1.008500000000000796e+02,1.603761904761904816e-04
1.009000000000000909e+02,1.750428571428571615e-04
1.009500000000000881e+02,1.885666666666666784e-04
1.010000000000000853e+02,1.854238095238095211e-04
1.010500000000000966e+02,1.769000000000000173e-04
1.011000000000000938e+02,1.775666666666666821e-04
1.011500000000000909e+02,1.664714285714285753e-04
1.012000000000001023e+02,1.447571428571428598e-04
1.012500000000000995e+02,1.159952380952381087e-04
1.013000000000001108e+02,6.418571428571429895e-05
1.013500000000001080e+02,2.228095238095240496e-05
1.014000000000001052e+02,-5.176666666666666005e-05
1.014500000000001165e+02,-1.206714285714284649e-04
1.015000000000001137e+02,-1.976238095238095737e-04
1.015500000000001108e+02,-2.625285714285714982e-04
1.016000000000001222e+02,-3.436714285714284915e-04
1.016500000000001194e+02,-4.160523809523809487e-04
1.017000000000001307e+02,-4.714333333333333180e-04
1.017500000000001279e+02,-5.031000000000000315e-04
1.018000000000001251e+02,-5.110523809523808726e-04
1.018500000000001364e+02,-4.825285714285713163e-04
1.019000000000001336e+02,-4.250523809523807338e-04
1.019500000000001307e+02,-3.118619047619048019e-04
1.020000000000001421e+02,-1.954809523809523865e-04
1.020500000000001393e+02,-7.205238095238096258e-05
1.021000000000001506e+02,3.966190476190477212e-05
1.021500000000001478e+02,1.006142857142857224e-04
1.022000000000001450e+02,1.162809523809523859e-04
1.022500000000001563e+02,1.185238095238097652e-05
1.023000000000001535e+02,-1.573380952380953001e-04
1.023500000000001506e+02,-4.950047619047619977e-04
1.024000000000001620e+02,-8.913857142857141988e-04
1.024500000000001592e+02,-1.376338095238095359e-03
1.025000000000001563e+02,-1.870766666666666802e-03
1.025500000000001677e+02,-2.305909523809524051e-03
1.026000000000001648e+02,-2.531814285714286284e-03
1.026500000000001762e+02,-2.407814285714285872e-03
1.027000000000001734e+02,-1.891861904761903959e-03
1.027500000000001705e+02,-8.971476190476190956e-04
1.028000000000001819e+02,4.917095238095237552e-04
1.028500000000001791e+02,2.101709523809523316e-03
1.029000000000001762e+02,3.713614285714285628e-03
1.029500000000001876e+02,4.952614285714286579e-03
1.030000000000001847e+02,5.383519047619048266e-03
1.030500000000001961e+02,4.814947619047617831e-03
1.031000000000001933e+02,3.378900000000000219e-03
1.031500000000001904e+02,1.241614285714285606e-03
1.032000000000002018e+02,-9.059571428571426598e-04
1.032500000000001990e+02,-2.397052380952380529e-03
1.033000000000001961e+02,-2.889099999999999481e-03
1.033500000000002075e+02,-2.240052380952380507e-03
1.034000000000002046e+02,-7.216714285714284638e-04
1.034500000000002018e+02,8.964714285714287011e-04
1.035000000000002132e+02,1.930280952380952460e-03
1.035500000000002103e+02,1.839471428571428421e-03
1.036000000000002217e+02,7.539952380952381124e-04
1.036500000000002188e+02,-8.556238095238094402e-04
1.037000000000002160e+02,-2.193909523809523497e-03
1.037500000000002274e+02,-2.536719047619047807e-03
1.038000000000002245e+02,-1.776861904761904958e-03
1.038500000000002217e+02,-3.783380952380950612e-04
1.039000000000002331e+02,1.072995238095237952e-03
1.039500000000002302e+02,1.931328571428571079e-03
1.040000000000002416e+02,1.797566666666666974e-03
1.040500000000002387e+02,9.296142857142857202e-04
1.041000000000002359e+02,-8.967142857142852458e-05
1.041500000000002473e+02,-7.721476190476188762e-04
1.042000000000002444e+02,-8.274333333333336229e-04
1.042500000000002416e+02,-3.676238095238095046e-04
1.043000000000002530e+02,2.150428571428571580e-04
1.043500000000002501e+02,5.268523809523809314e-04
1.044000000000002615e+02,4.404714285714286760e-04
1.044500000000002586e+02,5.166190476190475210e-05
1.045000000000002558e+02,-3.860047619047618419e-04
1.045500000000002672e+02,-5.880047619047617646e-04
1.046000000000002643e+02,-5.101476190476187961e-04
1.046500000000002615e+02,-2.596238095238094816e-04
1.047000000000002728e+02,-2.629047619047617771e-05
1.047500000000002700e+02,1.747142857142855855e-05
1.048000000000002672e+02,-9.881428571428571930e-05
1.048500000000002785e+02,-2.803380952380950643e-04
1.049000000000002757e+02,-4.034809523809525364e-04
1.049500000000002871e+02,-3.733380952380951565e-04
1.050000000000002842e+02,-2.096714285714285141e-04
1.050500000000002814e+02,-4.162380952380954945e-05
1.051000000000002927e+02,5.389999999999999555e-05
1.051500000000002899e+02,7.661904761904739691e-06
1.052000000000002871e+02,-8.695714285714294567e-05
1.052500000000002984e+02,-2.064809523809523286e-04
1.053000000000002956e+02,-2.806238095238094499e-04
1.053500000000003070e+02,-2.661952380952379649e-04
1.054000000000003041e+02,-2.142428571428571656e-04
1.054500000000003013e+02,-1.208142857142856035e-04
1.055000000000003126e+02,-1.890952380952378256e-05
1.055500000000003098e+02,6.199523809523811073e-05
1.056000000000003070e+02,1.079000000000000071e-04
1.056500000000003183e+02,1.547571428571428590e-04
