freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
1.567398119122181299e+00,4.056797757905514223e-02,nan,nan,nan,nan,nan,nan
1.588296760710477207e+00,4.095774887727259006e-02,nan,nan,nan,nan,nan,nan
1.609195402298772892e+00,4.153290688604781289e-02,nan,nan,nan,nan,nan,nan
1.630094043887068800e+00,4.214830109323949164e-02,nan,nan,nan,nan,nan,nan
1.650992685475364485e+00,4.274094083081610151e-02,nan,nan,nan,nan,nan,nan
1.671891327063660171e+00,4.334104174123878245e-02,nan,nan,nan,nan,nan,nan
1.692789968651956078e+00,4.402000749006780567e-02,nan,nan,nan,nan,nan,nan
1.713688610240251764e+00,4.481153027161167285e-02,nan,nan,nan,nan,nan,nan
1.734587251828547672e+00,4.566151586819036656e-02,nan,nan,nan,nan,nan,nan
1.755485893416843135e+00,4.644324294805549785e-02,nan,nan,nan,nan,nan,nan
1.776384535005139043e+00,4.702402336127035204e-02,nan,nan,nan,nan,nan,nan
1.797283176593434728e+00,4.733368065001771624e-02,nan,nan,nan,nan,nan,nan
1.818181818181730414e+00,4.739110721635814844e-02,nan,nan,nan,nan,nan,nan
1.839080459770026321e+00,4.727825243587811116e-02,nan,nan,nan,nan,nan,nan
1.859979101358322007e+00,4.708451367533509485e-02,nan,nan,nan,nan,nan,nan
1.880877742946617914e+00,4.686047142300281410e-02,nan,nan,nan,nan,nan,nan
1.901776384534913600e+00,4.660876761974758892e-02,nan,nan,nan,nan,nan,nan
1.922675026123209285e+00,4.630909280830542568e-02,nan,nan,nan,nan,nan,nan
1.943573667711505193e+00,4.594974685098467820e-02,nan,nan,nan,nan,nan,nan
1.964472309299800656e+00,4.554009149149564756e-02,nan,nan,nan,nan,nan,nan
1.985370950888096564e+00,4.509987243718222016e-02,nan,nan,nan,nan,nan,nan
2.006269592476392472e+00,4.464087648880130793e-02,nan,nan,nan,nan,nan,nan
2.027168234064688157e+00,4.415857092263696798e-02,nan,nan,nan,nan,nan,nan
2.048066875652983843e+00,4.363820305030695346e-02,nan,nan,nan,nan,nan,nan
2.068965517241279528e+00,4.306603526317300673e-02,nan,nan,nan,nan,nan,nan
2.089864158829575214e+00,4.243479941518929488e-02,nan,nan,nan,nan,nan,nan
2.110762800417870899e+00,4.174196789766806276e-02,nan,nan,nan,nan,nan,nan
2.131661442006166585e+00,4.098807794577702390e-02,nan,nan,nan,nan,nan,nan
2.152560083594462714e+00,4.018072700083267362e-02,nan,nan,nan,nan,nan,nan
2.173458725182758400e+00,3.934042385955123511e-02,nan,nan,nan,nan,nan,nan
2.194357366771054085e+00,3.849825564337701345e-02,nan,nan,nan,nan,nan,nan
2.215256008359350215e+00,3.768038871010170182e-02,nan,nan,nan,nan,nan,nan
2.236154649947645456e+00,3.688762473883702014e-02,nan,nan,nan,nan,nan,nan
2.257053291535941142e+00,3.608715177098328897e-02,nan,nan,nan,nan,nan,nan
2.277951933124237271e+00,3.522755862690177264e-02,nan,nan,nan,nan,nan,nan
2.298850574712532513e+00,3.427020067455460034e-02,nan,nan,nan,nan,nan,nan
2.319749216300828643e+00,3.321569503002140544e-02,nan,nan,nan,nan,nan,nan
2.340647857889124328e+00,3.210595082254232707e-02,nan,nan,nan,nan,nan,nan
2.361546499477420014e+00,3.099846179994067419e-02,nan,nan,nan,nan,nan,nan
2.382445141065715699e+00,2.992966801836124610e-02,nan,nan,nan,nan,nan,nan
2.403343782654011829e+00,2.889373895044479446e-02,nan,nan,nan,nan,nan,nan
2.424242424242307514e+00,2.785228818909608536e-02,nan,nan,nan,nan,nan,nan
2.445141065830603200e+00,2.676612822477379694e-02,nan,nan,nan,nan,nan,nan
2.466039707418898885e+00,2.562359940443805981e-02,nan,nan,nan,nan,nan,nan
2.486938349007194571e+00,2.444433074896746119e-02,nan,nan,nan,nan,nan,nan
2.507836990595490256e+00,2.325629298877508744e-02,nan,nan,nan,nan,nan,nan
2.528735632183785942e+00,2.206401680170033686e-02,nan,nan,nan,nan,nan,nan
2.549634273772082071e+00,2.083433139840386999e-02,nan,nan,nan,nan,nan,nan
2.570532915360377313e+00,1.951451025602762152e-02,nan,nan,nan,nan,nan,nan
2.591431556948673443e+00,1.807292345384707566e-02,nan,nan,nan,nan,nan,nan
2.612330198536969128e+00,1.653553427734444012e-02,nan,nan,nan,nan,nan,nan
2.633228840125265258e+00,1.499463539221484142e-02,nan,nan,nan,nan,nan,nan
2.654127481713560499e+00,1.358051561982031794e-02,nan,nan,nan,nan,nan,nan
2.675026123301856185e+00,1.240291529166141424e-02,nan,nan,nan,nan,nan,nan
2.695924764890152314e+00,1.148992487296443717e-02,nan,nan,nan,nan,nan,nan
2.716823406478447556e+00,1.076893301738751640e-02,nan,nan,nan,nan,nan,nan
2.737722048066743685e+00,1.011127914838829030e-02,nan,nan,nan,nan,nan,nan
2.758620689655039371e+00,9.405750905464391881e-03,nan,nan,nan,nan,nan,nan
2.779519331243335500e+00,8.608226611656574420e-03,nan,nan,nan,nan,nan,nan
2.800417972831630742e+00,7.747283480953394072e-03,nan,nan,nan,nan,nan,nan
2.821316614419926871e+00,6.894643043311200759e-03,nan,nan,nan,nan,nan,nan
2.842215256008222557e+00,6.118272663327600433e-03,nan,nan,nan,nan,nan,nan
2.863113897596517798e+00,5.441392670297967062e-03,nan,nan,nan,nan,nan,nan
2.884012539184813928e+00,4.833573936051686545e-03,nan,nan,nan,nan,nan,nan
2.904911180773109614e+00,4.240976580446293928e-03,nan,nan,nan,nan,nan,nan
2.925809822361405299e+00,3.629385931668609178e-03,nan,nan,nan,nan,nan,nan
2.946708463949700985e+00,3.007899774911961064e-03,nan,nan,nan,nan,nan,nan
2.967607105537997114e+00,2.424090835204994413e-03,nan,nan,nan,nan,nan,nan
2.988505747126292800e+00,1.938302491249575561e-03,nan,nan,nan,nan,nan,nan
3.009404388714588485e+00,1.587079360216602343e-03,nan,nan,nan,nan,nan,nan
3.030303030302884171e+00,1.353740875208645986e-03,nan,nan,nan,nan,nan,nan
3.051201671891180300e+00,1.177710818636221743e-03,nan,nan,nan,nan,nan,nan
3.072100313479475542e+00,9.981178715420880362e-04,nan,nan,nan,nan,nan,nan
3.092998955067771227e+00,7.842036784964439514e-04,nan,nan,nan,nan,nan,nan
3.113897596656067357e+00,5.403939763432142988e-04,nan,nan,nan,nan,nan,nan
3.134796238244362598e+00,3.063521885261456194e-04,nan,nan,nan,nan,nan,nan
3.155694879832658728e+00,1.839573208606907193e-04,nan,nan,nan,nan,nan,nan
3.176593521420954414e+00,2.349980916167750003e-04,nan,nan,nan,nan,nan,nan
3.197492163009250543e+00,2.824254713972521188e-04,nan,nan,nan,nan,nan,nan
3.218390804597545785e+00,2.632344804156764727e-04,nan,nan,nan,nan,nan,nan
3.239289446185841914e+00,1.947642817031352593e-04,nan,nan,nan,nan,nan,nan
3.260188087774137600e+00,1.243960427266236506e-04,nan,nan,nan,nan,nan,nan
3.281086729362432841e+00,1.132073620668105495e-04,nan,nan,nan,nan,nan,nan
3.301985370950728971e+00,1.440244147817470912e-04,nan,nan,nan,nan,nan,nan
3.322884012539024656e+00,1.647299576927734608e-04,nan,nan,nan,nan,nan,nan
3.343782654127320342e+00,1.668171990432711354e-04,nan,nan,nan,nan,nan,nan
3.364681295715616027e+00,1.627810874270491331e-04,nan,nan,nan,nan,nan,nan
3.385579937303912157e+00,1.720465519200772939e-04,nan,nan,nan,nan,nan,nan
3.406478578892207842e+00,1.979354671597326589e-04,nan,nan,nan,nan,nan,nan
