Frequency   σRe
5.0293E11	200.07456
5.07813E11	197.66322
5.12695E11	194.56189
5.17578E11	193.74859
5.22461E11	192.88499
5.27344E11	192.24033
5.32227E11	191.54265
5.37109E11	191.71792
5.41992E11	190.92332
5.46875E11	191.02073
5.51758E11	192.03927
5.56641E11	192.34454
5.61523E11	193.3245
5.66406E11	194.28943
5.71289E11	195.50893
5.76172E11	196.7151
5.81055E11	198.65505
5.85938E11	200.59959
5.9082E11	202.54872
5.95703E11	200.85555
6.00586E11	204.62235
6.05469E11	204.42678
6.10352E11	207.15431
6.15234E11	207.72398
6.20117E11	210.46878
6.25E11	211.83701
6.29883E11	213.20073
6.34766E11	214.26642
6.39648E11	214.49583
6.44531E11	214.41176
6.49414E11	214.30787
6.54297E11	214.18429
6.5918E11	212.89656
6.64063E11	211.57887
6.68945E11	210.5247
6.73828E11	209.43893
6.78711E11	207.44066
6.83594E11	206.28411
6.88477E11	204.19601
6.93359E11	202.96912
6.98242E11	201.99379
7.03125E11	200.98483
7.08008E11	199.00102
7.12891E11	199.14415
7.17773E11	198.30933
7.22656E11	198.4105
7.27539E11	197.51361
7.32422E11	196.57963
7.37305E11	193.05145
7.42188E11	198.19079
7.4707E11	194.58288
7.51953E11	194.54896
7.56836E11	194.49809
7.61719E11	194.69993
7.66602E11	195.94801
7.71484E11	195.85461
7.76367E11	196.82122
7.8125E11	196.70252
7.86133E11	197.93191
7.91016E11	197.78777
7.95898E11	198.73267
8.00781E11	198.28755
8.05664E11	198.10154
8.10547E11	197.89862
8.1543E11	197.40385
8.20313E11	195.74897
8.25195E11	196.63989
8.30078E11	196.0962
8.34961E11	194.37015
8.39844E11	195.23376
8.44727E11	193.45967
8.49609E11	193.11495
8.54492E11	191.282
8.59375E11	190.89523
8.64258E11	184.79688
8.69141E11	184.34222
8.74023E11	183.87071
8.78906E11	181.86681
8.83789E11	181.3532
8.88672E11	180.82276
8.93555E11	180.27547
8.98438E11	179.96234
9.0332E11	179.38057
9.08203E11	178.78193
9.13086E11	178.41492
9.17969E11	177.78167
9.22852E11	177.37824
9.27734E11	176.71029
9.32617E11	177.64035
9.375E11	176.94703
9.42383E11	177.86863
9.47266E11	175.75378
9.52148E11	175.0087
9.57031E11	174.24669
9.61914E11	173.46774
9.66797E11	172.67186
9.7168E11	171.85905
9.76563E11	172.72266
9.81445E11	171.88445
9.86328E11	170.79176
9.91211E11	171.63727
9.96094E11	170.75794
1.00098E12	169.86171
1.00586E12	170.6903
1.01074E12	169.76871
1.01563E12	168.8302
1.02051E12	169.64188
1.02539E12	168.67801
1.03027E12	167.93046
1.03516E12	168.49199
1.04004E12	167.71879
1.04492E12	166.69431
1.0498E12	167.47325
1.05469E12	164.82314
1.05957E12	165.58621
1.06445E12	166.34928
1.06934E12	161.76599
1.07422E12	162.50465
1.0791E12	165.11967
1.08398E12	162.32163
